candidate_id,name,business_name,dba,full_premise_address,city,state,zip,permit_numbers,permit_count,classification,classification_reason,current_operating_status,operator_url,evidence_url,source_name,source_url,retrieval_date,exact_registry_reference,notes
ca-ttb-004b4c988b0f,GALLO,E. & J. GALLO WINERY,GALLO,"600 YOSEMITE BLVD, MODESTO, CA, 95354",MODESTO,CA,95354,CA-S-210,1,production_site,E. & J. Gallo Winery holds an active California ABC Type 04 Distilled Spirits Manufacturer license (#7869) and TTB permit CA-S-210 for spirits production at its primary Modesto campus.,open,https://www.gallo.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=600+YOSEMITE+BLVD&CITY=MODESTO,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-210,The site also maintains active licenses for winegrowing (Type 02) and beer manufacturing (Type 01) at the same 600 Yosemite Blvd location. Official ABC exact-premise match: Type 04 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 03 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 06 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 01 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 02 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 12 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 09 file 00007869 (E. & J. GALLO WINERY / GALLO); Type 11 file 00007869 (E. & J. GALLO WINERY / GALLO).
ca-ttb-015e354edde3,DEVEN WEK,DEVEN WEK,,"815 ALMAR AVE UNIT 14, SANTA CRUZ, CA, 95060",SANTA CRUZ,CA,95060,CA-S-20219,1,production_site,"Entity holds active California ABC Craft Distiller (Type 74) and Still (Type 06) licenses at the permitted warehouse location, with on-site production confirmed by local news and city planning records.",open,https://lunasea.vodka/,https://lookout.co/westsides-luna-sea-vodka-wins-platinum-and-muddles-a-new-trick/story,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=13&ADDRESS=815+ALMAR+AVE&CITY=SANTA+CRUZ,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20219,"Active licenses include Type 74 (Craft Distiller), Type 06 (Still), and Type 12 (Importer); operator produces award-winning vodka and operates a tasting room by appointment."
ca-ttb-0163152b3777,"KEG KRAFT BEVERAGE CO., LP","KEG KRAFT BEVERAGE CO., LP",,"45 N MAIN ST BLDG 1 & 2, TEMPLETON, CA, 93465",TEMPLETON,CA,93465,CA-S-20602,1,bottling_only,"Operates as a rectifier and winegrower at an industrial warehouse facility for batched cocktail production, but lacks California ABC Type 04 or 74 distilling licenses.",open,https://kegkraft.co/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=15&LICENSE=676542,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20602,Facility at 45 N Main St Bldg 1 & 2 is an industrial warehouse shared with other entities; ABC license 676542 is active as of August 2026.
ca-ttb-02765b99ed24,"FN Cellars, LLC","FN CELLARS, LLC","FN Cellars, LLC","1695 ST. HELENA HWY S, ST. HELENA, CA, 94574",ST. HELENA,CA,94574,CA-S-20408,1,production_site,Holds active California ABC Type 06 Still license and TTB Spirits Producer and Bottler permit CA-S-20408 at the Bella Union Winery facility.,open,https://farniente.com/visit-bella-union,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=15&DBANAME=BELLA+UNION,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20408,The site operates as Bella Union Winery (formerly Provenance Vineyards) and holds both wine and distilled spirits production permits.
ca-ttb-02af558b38b9,INSPIRADA BRANDS LLC,INSPIRADA BRANDS LLC,,"1220 J ST, SAN DIEGO, CA, 92101",SAN DIEGO,CA,92101,CA-S-20581,1,production_site,"Inspirada Brands LLC holds a TTB Spirits Producers and Bottlers permit (CA-S-20581) at 1220 J St, the site of Storyhouse Spirits, which is identified as their production location on their official website map.",open,https://inspiradabrands.com/,https://inspiradabrands.com/,Inspirada Brands Official Website,https://inspiradabrands.com/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20581,"The entity is an agave spirit producer operating at the Storyhouse Spirits facility in San Diego; while its CA ABC Type 74 license (670805) is pending, the brand is active with products in market."
ca-ttb-02c61338ea2d,ORGANIC CRAFT BREWING,ORGANIC CRAFT BREWING,,"1430 VANTAGE COURT STE 104, VISTA, CA, 92081",VISTA,CA,92081,CA-S-20479,1,bottling_only,"Organic Craft Brewing operates as a beverage co-packer and brewery at this location, bottling and processing spirits-based RTDs under TTB permit CA-S-20479 without evidence of on-site distillation equipment or a California distiller license.",open,https://ocbrewpack.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?licenseNumber=617251,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20479,"The facility operates as a co-packer for RTD spirits and a kombucha brewery (dba Local Roots Kombucha) with active California ABC licenses for beer and wine manufacturing, but no distiller license."
ca-ttb-03b3a5b19600,VILLA TOSCANO,"VILLA TOSCANO, INC.",VILLA TOSCANO,"10600 SHENANDOAH RD, PLYMOUTH, CA, 95669",PLYMOUTH,CA,95669,CA-S-15051,1,production_site,"The entity holds active California ABC Type 04 (Distilled Spirits Manufacturer) and Type 06 (Still) licenses at the premise address, supported by TTB permit CA-S-15051.",open,https://www.villatoscano.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=14&COMPANY=Y&LICENSEE=VILLA+TOSCANO+INC,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-15051,The site operates primarily as a winery but maintains active state and federal distilling permits and on-site production facilities. Official ABC exact-premise match: Type 02 file 00434258 (VILLA TOSCANO INC / VILLA TOSCANO WINERY); Type 06 file 00434258 (VILLA TOSCANO INC / VILLA TOSCANO WINERY); Type 04 file 00434258 (VILLA TOSCANO INC / VILLA TOSCANO WINERY).
ca-ttb-03ec25f10225,"Corning & Company Distillers, LLC","CORNING & COMPANY DISTILLERS, LLC","Corning & Company Distillers, LLC","5535 STATE FARM DR, ROHNERT PARK, CA, 94928",ROHNERT PARK,CA,94928,CA-S-15098,1,production_site,"Corning & Company Distillers, LLC operates an active production facility at 5535 State Farm Dr, Rohnert Park, CA, holding an active California ABC Type 04 Distiller's license and Type 06 Still license.",open,https://www.corningandcompany.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=14&COMPANY=Y&LICENSEE=CORNING,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-15098,The site at 5535 State Farm Dr is also the location for Sonoma Distilling Company; Corning & Company provides integrated production and route-to-market services for multiple craft brands.
ca-ttb-04d1dd2e0466,Prismatic Distilling Company,VINEYARD TO VINTAGE LLC,Prismatic Distilling Company,"10255 OLD PLACERVILLE RD STE 5, SACRAMENTO, CA, 95827",SACRAMENTO,CA,95827,CA-S-20494,1,production_site,The facility operates as an active craft distillery (ABC Type 74) utilizing an iStill 500 for on-site spirits production and custom brandy distillation.,open,https://prismaticdistilling.com/,https://www.abc.ca.gov/licensing/license-lookup/single-license/?RPTTYPE=12&LICENSE=656665,California ABC License Lookup,https://www.abc.ca.gov/licensing/license-lookup/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20494,The operator confirmed the absence of a public tasting room at the production facility while maintaining active wholesale and online sales.
ca-ttb-050461e160f2,PEKUT AND CARWICK INDEPENDENT BOTTLERS,PEKUT AND CARWICK LLC,PEKUT AND CARWICK INDEPENDENT BOTTLERS,"2390 FOURTH ST STE D, BERKELEY, CA, 94710",BERKELEY,CA,94710,CA-S-20306,1,bottling_only,"Operator identifies as an independent bottler and transparently sources spirits from other distilleries (e.g., Spirit Works), using its Berkeley facility for blending, aging, and bottling.",open,https://www.pekutandcarwick.com/,https://www.pekutandcarwick.com/blog/why-independent-bottling/,Pekut and Carwick Independent Bottlers Website,https://www.pekutandcarwick.com/,2026-08-22,TTB Spirits Producers and Bottlers List: CA-S-20306,"Active California ABC licenses include Type 06 (Still) and Type 07 (Rectifier), but on-site distilling is not evidenced; the business model focuses on co-branding and rectifying sourced spirits."
