type,country,name,name2,km,sim
stub,United Kingdom,Dumbarton distillery,,,
stub,United Kingdom,Abbeyhill,,,
stub,United Kingdom,Auchnagie,,,
stub,United Kingdom,Auchorachan,,,
stub,United Kingdom,Auchtermuchty,,,
stub,United Kingdom,Auchtertool,,,
stub,United Kingdom,Ballechin,,,
stub,United Kingdom,Bon Accord,,,
stub,United Kingdom,Bo’ness distillery,,,
stub,United Kingdom,Banff distillery,,,
stub,United Kingdom,Lochside distillery,,,
stub,United Kingdom,Glenury distillery,,,
stub,United States,A. Smith Bowman Distillery,,,
stub,United Kingdom,Adelphi Whisky,,,
stub,United Kingdom,Millburn distillery,,,
stub,Japan,Karuizawa distillery,,,
stub,Ireland,Bandon Distillery,,,
stub,United Kingdom,Kennetpans Distillery,,,
stub,United Kingdom,Auchinblae distillery,,,
stub,United Kingdom,Dundashill,,,
stub,United Kingdom,Glenflagler distillery,,,
stub,United Kingdom,Cambus,,,
stub,United Kingdom,Camlachie,,,
stub,United Kingdom,Canonmills,,,
stub,United Kingdom,Carsebridge,,,
stub,United Kingdom,Coleburn,,,
stub,United Kingdom,Convalmore,,,
stub,United Kingdom,Devanha Distillery,,,
stub,United Kingdom,Glen Albyn,,,
stub,United Kingdom,Edinburgh whisky distillery,,,
stub,United Kingdom,Alloa distillery,,,
stub,United Kingdom,Gerston,,,
stub,United Kingdom,Glenaden,,,
stub,United Kingdom,Hillside Distillery,,,
stub,United Kingdom,Glengilp distillery,,,
stub,United Kingdom,Gleniffer,,,
stub,United Kingdom,Glenmavis,,,
stub,United Kingdom,Glenochil,,,
stub,United Kingdom,Glentarras,,,
stub,United Kingdom,Grandtully,,,
stub,United Kingdom,Provanmill,,,
stub,United Kingdom,Lochrin,,,
stub,United Kingdom,Kilbagie,,,
stub,United Kingdom,Kirkliston Distillery,,,
stub,United Kingdom,Langholm Distillery,,,
stub,United Kingdom,Octomore,,,
stub,United Kingdom,Pollo,,,
stub,United Kingdom,Saucel,,,
stub,United Kingdom,St Magdalene distillery,,,
stub,United Kingdom,Strathdee,,,
stub,United Kingdom,Stromness,,,
stub,United Kingdom,Tambowie,,,
stub,United Kingdom,"Grange distillery, Burntisland",,,
stub,United Kingdom,Yoker,,,
stub,United Kingdom,Benbecula Distillery,,,
stub,Austria,Q95567620,,,
stub,Austria,Q95994314,,,
stub,Belgium,Q134732560,,,
stub,Belgium,Anglo-Belge,,,
stub,Belgium,Bal & Co,,,
stub,Belgium,Brouwerij Bourgogne,,,
stub,Belgium,Columbia,,,
stub,Belgium,Cosemans,,,
stub,Belgium,De L'Auvre,,,
stub,Belgium,Den Betsberg,,,
