slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
backdrop-distilling,BackDrop Distilling,"70 SW Century Dr #100, Bend, OR 97702, USA",OR,osm,review,72.2,name,0.0,OR-S-20054,COBURG DISTILLING COMPANY LLC,Coburg Distilling Company LLC
tattersall-distilling,Tattersall Distilling,"1325 Quincy St NE Suite 100, Minneapolis, MN 55413, USA",MN,osm,review,71.8,name,0.125,MN-S-20018,LAWLESS DISTILLING COMPANY L.L.C.,Lawless Distilling Company
tower-56-distilling,Tower 56 Distilling,"825 9th St unit b, Greeley, CO 80631, USA",CO,osm,review,75.7,name,0.0,CO-S-20171,"SHELTER DISTILLING, INC.",Shelter Distilling
five-saints-distilling,Five Saints Distilling,"129 E Main St, Norristown, PA 19401, USA",PA,osm,review,73.7,name,0.0,PA-S-20320,ETHOS DISTILLING COMPANY LLC,Ethos Distilling
barrel-house-distillery,Barrel House Distillery,"1228 Manchester St UNIT 100, Lexington, KY 40504, USA",KY,osm+wikidata,review,75.9,name,0.143,KY-S-20175,"LOUISVILLE BARREL COMPANY, LLC",Louisville Rickhouse
breuckelen-distilling,Breuckelen Distilling,"77 19th St, Brooklyn, NY 11232, USA",NY,osm,review,76.4,name,0.333,NY-S-15028,BREUCKELEN DISTILLING COMPANY INCORPORATED,
woodsmen-distilling,Woodsmen Distilling,"9603 State Hwy B, Higbee, MO 65257, USA",MO,osm,review,72.2,name,0.0,MO-S-20001,"STRONG SPIRITS DISTILLING, INC.",S.D. Strong Distilling
hood-river-distillers-tasting-room,Hood River Distillers Tasting Room,"304 Oak St Suite #3, Hood River, OR 97031, USA",OR,osm,review,76.4,name,0.0,OR-S-20053,"HOOD RIVER DISTILLERS, INC.",
courthouse-distillery,Courthouse Distillery,"1114 State St, Santa Barbara, CA 93101, USA",CA,osm,review,70.0,name,0.143,CA-S-20201,"HIGHWAY 101 SPIRITS, INC.",Storyhouse Spirits
manitou-and-co-distilling,Manitou and Co Distilling,"203 W River St, Leland, MI 49654, USA",MI,osm,review,72.0,name,0.143,MI-S-20108,ATLAS DISTILLING COMPANY LLC,ALÉVRI MILL DISTILLING CO.
