slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
a-smith-bowman-distillery,A. Smith Bowman Distillery,,,wikidata,unmatched,0,none,0,,,
lawrenceburg-distillers-indiana,Lawrenceburg Distillers Indiana,"652 Shipping St, Lawrenceburg, IN 47025, USA",IN,osm+wikidata,unmatched,62.1,none,0.0,,,
old-prentice-distillery,Old Prentice Distillery,"1224 Bonds Mill Rd, Lawrenceburg, KY 40342, USA",KY,osm+wikidata,unmatched,64.0,none,0.0,,,
george-dickel,George Dickel,"1950 Cascade Hollow Rd, Tullahoma, TN 37388, USA",TN,osm+wikidata,unmatched,52.2,none,0.0,,,
wild-turkey-distillery,Wild Turkey Distillery,,,curated+osm,unmatched,0,none,0,,,
jim-beam,Jim Beam,"568 Happy Hollow Rd, Clermont, KY 40110, USA",KY,curated+osm,unmatched,61.5,none,0.429,,,
four-roses-distillery,Four Roses Distillery,,,curated,unmatched,0,none,0,,,
bulleit-frontier-whiskey,Bulleit Frontier Whiskey,,,curated,unmatched,0,none,0,,,
angel-s-envy-distillery,Angel's Envy Distillery,,,curated,unmatched,0,none,0,,,
town-branch-distillery,Town Branch Distillery,,,curated,unmatched,0,none,0,,,
michter-s-fort-nelson-distillery,Michter's Fort Nelson Distillery,"801 W Main St, Louisville, KY 40202, USA",KY,curated+osm,unmatched,60.0,none,0.0,,,
stranahan-s-colorado-whiskey,Stranahan's Colorado Whiskey,,,curated+osm,unmatched,0,none,0,,,
westland-distillery,Westland Distillery,,,curated+osm,unmatched,0,none,0,,,
balcones-distilling,Balcones Distilling,,,curated,unmatched,0,none,0,,,
whistlepig-farm-distillery,WhistlePig Farm Distillery,,,curated,unmatched,0,none,0,,,
hudson-whiskey-tuthilltown,Hudson Whiskey (Tuthilltown),,,curated,unmatched,0,none,0,,,
kings-county-distillery,Kings County Distillery,,,curated+osm,unmatched,0,none,0,,,
garrison-brothers-distillery,Garrison Brothers Distillery,,,curated+osm,unmatched,0,none,0,,,
corsair-distillery,Corsair Distillery,,,curated+osm,unmatched,0,none,0,,,
george-washington-s-distillery,George Washington's Distillery,,,curated+osm,unmatched,0,none,0,,,
leopold-bros,Leopold Bros,,,curated,unmatched,0,none,0,,,
sagamore-spirit-distillery,Sagamore Spirit Distillery,,,curated,unmatched,0,none,0,,,
new-riff-distillery,New Riff Distillery,"24 Distillery Way, Newport, KY 41073, USA",KY,curated+osm,unmatched,59.3,none,0.5,,,
catoctin-creek-distillery,Catoctin Creek Distillery,,,curated,unmatched,0,none,0,,,
copper-fox-distillery,Copper Fox Distillery,"9 River Ln, Sperryville, VA 22740, USA",VA,curated+wikidata,unmatched,60.0,none,0.0,,,
few-spirits,FEW Spirits,,,curated+osm,unmatched,0,none,0,,,
woodinville-whiskey-co,Woodinville Whiskey Co,,,curated,unmatched,0,none,0,,,
eagle-cliffs-distillery,Eagle Cliffs Distillery,,,osm,unmatched,0,none,0,,,
the-reserve,The Reserve,"400 Linden St, Fort Collins, CO 80524, USA",CO,osm,unmatched,60.0,none,0.0,,,
bahamas-distilling-co,Bahamas Distilling Co.,"G7PV+FRW, 7 Oak St, Freeport, The Bahamas",,osm,unmatched,0,none,0,,,
young-hearts-distilling-restaurant-and-bar,"Young Hearts Distilling, Restaurant and Bar","228 Fayetteville St Ste 201, Raleigh, NC 27601, USA",NC,osm,unmatched,64.8,none,0.0,,,
sun-liquor-distillery,Sun Liquor Distillery,,,osm,unmatched,0,none,0,,,
topo-distillery,TOPO Distillery,,,osm,unmatched,0,none,0,,,
ye-old-grog-distillery,Ye Old Grog Distillery,,,osm,unmatched,0,none,0,,,
saint-augustine-distiliery,Saint Augustine Distiliery,"112 Riberia St, St. Augustine, FL 32084, USA",FL,osm,unmatched,63.2,none,0.5,,,
thumb-butte-distillery,Thumb Butte Distillery,"400 N Washington Ave, Prescott, AZ 86301, USA",AZ,osm,unmatched,40.0,none,0.0,,,
long-table-distillery,Long Table Distillery,"1451 Hornby St, Vancouver, BC V6Z 1W8, Canada",,osm,unmatched,0,none,0,,,
chattanooga-whiskey,Chattanooga Whiskey,"1439 Market St, Chattanooga, TN 37402, USA",TN,osm,unmatched,61.9,none,0.0,,,
spirit-works-distillery,Spirit Works Distillery,,,osm,unmatched,0,none,0,,,
capital-k-distillery,Capital K Distillery,"1680 Dublin Ave Unit 3, Winnipeg, MB R3H 1A8, Canada",,osm,unmatched,0,none,0,,,
north-of-7-distillery,North of 7 Distillery,"1733 St. Laurent Blvd, Ottawa, ON K1B 4S6, Canada",,osm,unmatched,0,none,0,,,
j-l-distilling,J&L Distilling,,,osm,unmatched,0,none,0,,,
roots-and-wings-distillery,Roots and Wings Distillery,"7897 240 St, Langley Twp, BC V1M 3P9, Canada",,osm,unmatched,0,none,0,,,
greenhook-ginsmiths,Greenhook Ginsmiths,"208 Dupont St, Brooklyn, NY 11222, USA",NY,osm,unmatched,48.5,none,0.5,,,
the-new-york-distilling-company,The New York Distilling Company,,,osm,unmatched,0,none,0,,,
dirty-water-distillery,Dirty Water Distillery,,,osm,unmatched,0,none,0,,,
bowens-whiskey,Bowen’s Whiskey,,,osm,unmatched,0,none,0,,,
still-waters-distillery,Still Waters Distillery,"150 Bradwick Dr, Concord, ON L4K 4M7, Canada",,osm,unmatched,0,none,0,,,
dark-island-spirits-distillery,Dark Island Spirits Distillery,,,osm,unmatched,0,none,0,,,
deep-roots-distillery,Deep Roots Distillery,,,osm,unmatched,0,none,0,,,
dillon-s-small-batch-distillers,Dillon's Small Batch Distillers,"4833 Tufford Rd, Beamsville, ON L3J 1G7, Canada",,osm,unmatched,0,none,0,,,
tommy-rotter-distellery,Tommy Rotter Distellery,,,osm,unmatched,0,none,0,,,
old-still,Old Still,,,osm,unmatched,0,none,0,,,
