slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
a-smith-bowman-distillery,A. Smith Bowman Distillery,,,wikidata,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,VA-S-20096,"SAZERAC OF NEW HAMPSHIRE, LLC",A. SMITH BOWMAN,VA,FREDERICKSBURG
wild-turkey-distillery,Wild Turkey Distillery,,,curated+osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,KY-S-15014,CAMPARI AMERICA LLC,WILD TURKEY DISTILLERY,KY,LAWRENCEBURG
four-roses-distillery,Four Roses Distillery,,,curated,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,KY-S-47,FOUR ROSES DISTILLERY LLC,,KY,LAWRENCEBURG
bulleit-frontier-whiskey,Bulleit Frontier Whiskey,,,curated,unmatched,0,none,0,,,,71.4,review_name_candidate_70_84,VA-S-20163,RIVER CITY WHISKEY LLC,,VA,RICHMOND
angel-s-envy-distillery,Angel's Envy Distillery,,,curated,unmatched,0,none,0,,,,69.6,no_name_candidate_below_70,CA-S-20077,LOS ANGELES DISTILLERY,,CA,CULVER CITY
town-branch-distillery,Town Branch Distillery,,,curated,unmatched,0,none,0,,,,78.3,review_name_candidate_70_84,OR-S-20046,RED HILLS DISTILLERY LLC,Branch Point Distillery,OR,DAYTON
stranahan-s-colorado-whiskey,Stranahan's Colorado Whiskey,,,curated+osm,unmatched,0,none,0,,,,67.9,no_name_candidate_below_70,TN-S-20083,"FOUR BLUE PALMS, LLC",Standard Proof Whiskey Co.,TN,NASHVILLE
westland-distillery,Westland Distillery,,,curated+osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,WA-S-20170,THE WESTLAND DISTILLERY COMPANY LIMITED,Westland,WA,BURLINGTON
balcones-distilling,Balcones Distilling,,,curated,unmatched,0,none,0,,,,86.5,high_name_candidate_85_94,KY-S-20093,"BALANCE DISTILLING COMPANY, LLC",,KY,SMITHS GROVE
whistlepig-farm-distillery,WhistlePig Farm Distillery,,,curated,unmatched,0,none,0,,,,69.0,no_name_candidate_below_70,MT-S-15008,"WHISTLING ANDY, INC.","Whisting Andy, Inc.",MT,BIGFORK
hudson-whiskey-tuthilltown,Hudson Whiskey (Tuthilltown),,,curated,unmatched,0,none,0,,,,71.4,review_name_candidate_70_84,PA-S-20195,"LAUREL HIGHLAND SPIRITS, LLC",Helltown Whiskey,PA,OAKDALE
