US_1752_TTB_STRICT_RECONCILIATION
SCOPE	country=United States AND region=usa
MAP_US_RECORDS	1752
TTB_ACTIVE_PRODUCER_BOTTLER_PERMITS	5530
MAP_HIGH_CONFIDENCE_ROWS	1121
MAP_REVIEW_ROWS	122
MAP_UNMATCHED_ROWS	509
MAP_UNPARSED_STATE_ROWS	155
HIGH_CONFIDENCE_UNIQUE_TTB_PERMITS	1120
REVIEW_UNIQUE_TTB_PERMITS	117
TOTAL_UNIQUE_TTB_PERMITS_WITH_MAP_CANDIDATE	1205
TTB_PERMITS_WITHOUT_MAP_CANDIDATE	4325

UNMATCHED_MAP_ROWS_BY_STATE
155	(unparsed)
27	CA
26	TX
22	PA
17	KY
17	NY
15	MI
13	OH
12	FL
12	WI
11	CO
11	NC
11	MO
10	VA
10	NM
10	OR
9	TN
9	AZ
9	GA
8	VT
7	IN
7	NJ
7	ID
7	WA
6	MN
6	SC
6	IL
5	MD
5	LA
5	AL
5	MA
4	IA
4	NE
3	MT
3	KS
2	CT
2	ME
2	NV
2	MS
2	WV
1	ND
1	AR
1	UT
1	RI
1	NH

MAP_SOURCE_BY_BUCKET
high_confidence
816	google-places
293	osm
7	osm+wikidata
2	curated+osm
2	wikidata
1	curated
review
98	google-places
23	osm
1	osm+wikidata
unmatched
274	google-places
203	osm
11	curated+osm
11	curated
5	osm+wikidata
4	wikidata
1	curated+wikidata
