permit_number,business_name,dba_name,street,city,state,zip,permit_type,status,issue_date
AK-S-15000,GLACIER CREEK DISTILLERY LLC,,1540 N SHORELINE DR,WASILLA,AK,99654,S,ACTIVE,
AK-S-20001,"HIGH MARK DISTILLERY, INC.",,37200 THOMAS ST,STERLING,AK,99672,S,ACTIVE,
AK-S-20002,ROBERT BORLAND,Ursa Major Distilling,3738 MARIPOSA LN,FAIRBANKS,AK,99709,S,ACTIVE,
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,Port Chilkoot Distillery,35 TOTEM ST,HAINES,AK,99827,S,ACTIVE,
AK-S-20004,PATRICK LEVY,Fairbanks Distilling Company,410 CUSHMAN ST,FAIRBANKS,AK,99701,S,ACTIVE,
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA MAJOR DISTILLING",Ursa Major Distilling,2922 GEORGE PARKS HWY,FAIRBANKS,AK,99709,S,ACTIVE,
AK-S-20006,ANCHORAGE DISTILLERY LLC,,6310 A ST,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20008,SKAGWAY SPIRITS LLC,Skagway Spirits LLC,941 ALASKA ST,SKAGWAY,AK,99840,S,ACTIVE,
AK-S-20009,ARCTIC HARVEST LLC,Arctic Harvest,4753 EIELSON FARM RD,NORTH POLE,AK,99705,S,ACTIVE,
AK-S-20011,AMALGA DISTILLERY LLC,,134 N FRANKLIN ST,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20012,ALASKAN SPIRITS LLC,Alaska Proof,7605 KING ST STE B,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20014,"COOK INLET DISTILLERY, LLC",,6820 ROSEWOOD ST UNIT 3,ANCHORAGE,AK,99518,S,ACTIVE,
AK-S-20015,"UNCHARTED ALASKA DISTILLERY, LLC",Uncharted Alaska Distillery,319 MAIN ST,KETCHIKAN,AK,99901,S,ACTIVE,
AK-S-20016,"ALASKAN BREWING, LLC",Alaskan Distilling Co.,5433 SHAUNE DR,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20017,"ALASKAN BREWING, LLC",Alaskan Distilling Co.,5366 COMMERCIAL BLVD,JUNEAU,AK,99801,S,ACTIVE,
AK-S-20018,"MIDNIGHT SUN BREWING, LLC.",Midnight Sun Brewing,8111 DIMOND HOOK DR,ANCHORAGE,AK,99507,S,ACTIVE,
AK-S-20019,"KODIAK ISLAND BREWING COMPANY, LLC",Kodiak Island Still,117 LOWER MILL BAY RD,KODIAK,AK,99615,S,ACTIVE,
AK-S-20020,"MATANUSKA BREWING COMPANY, LLC",,513 S VALLEY WAY,PALMER,AK,99645,S,ACTIVE,
AK-S-20022,"TWISTER CREEK, INC.",Denali Spirits and Distillery,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,S,ACTIVE,
AK-S-20023,SITKA SPIRITS LLC,,328 LINCOLN ST,SITKA,AK,99835,S,ACTIVE,
AK-S-20024,HARBOR MOUNTAIN BREWING COMPANY LLC,Harbor Mountain Brewing Company,1209 SAWMILL CREEK RD STE A,SITKA,AK,99835,S,ACTIVE,
AK-S-20025,TRITON LLC,Legends of Alaska Lumberjack cove,7691 N TONGASS HWY STE 100,KETCHIKAN,AK,99901,S,ACTIVE,
AK-S-20026,PLAN D ENTERPRISES LLC,Seward Distilling Company,226 FIFTH AVE,SEWARD,AK,99664,S,ACTIVE,
AK-S-20027,DARK LAMB INDUSTRIES LLC,Hoarfrost Distilling,3501 LATHROP ST BLDG A STE F,FAIRBANKS,AK,99701,S,ACTIVE,
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",High Ridge Spirits LLC,1401 HUNTSVILLE RD,FLORENCE,AL,35630,S,ACTIVE,
AL-S-20002,"MAD COUNTY WINERY, LLC",,"121 CASTLE DR, NW STE D",HUNTSVILLE,AL,35758,S,ACTIVE,
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",,1185 GOAT FEATHERS LN,ATMORE,AL,36502,S,ACTIVE,
AL-S-20005,BLUE PANTS BREWERY LLC,,500 LANIER RD BLDG 1,MADISON,AL,35758,S,ACTIVE,
AL-S-20006,"KEEL & CO. DISTILLING, INC.",,119 W CHURCH ST,HEADLAND,AL,36345,S,ACTIVE,
AL-S-20009,1185 LLC,PS Distilling Co,"3024 3RD AVE, S",BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20010,OLD BLACK BEAR BREWING COMPANY LLC,,212 MAIN ST,MADISON,AL,35758,S,ACTIVE,
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",,25020 STATE ST,ELBERTA,AL,36530,S,ACTIVE,
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20016,"SOUTHEAST WINE, LLC",YH Spirits,173 HIGHWAY 301,CALERA,AL,35040,S,ACTIVE,
AL-S-20018,"SINGIN' RIVER BREWING COMPANY, LLC",,526 E COLLEGE ST,FLORENCE,AL,35630,S,ACTIVE,
AL-S-20020,"BACK FORTY BEER COMPANY, LLC",Back Forty Beer Company,200 N 6TH ST,GADSDEN,AL,35901,S,ACTIVE,
AL-S-20023,"BAND OF BROTHERS DISTILLERY COMPANY, LLC",,1605 23RD AVE,TUSCALOOSA,AL,35401,S,ACTIVE,
AL-S-20025,"TAYLOE BEND DISTILLING COMPANY, LLC",Tayloe Bend,4425 3RD AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20026,"YELLOWHAMMER BREWING, INC.",,2600 CLINTON AVE W,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20027,"A & B DISTILLERIES, LLC",,306 HANKS RD,PIEDMONT,AL,36272,S,ACTIVE,
AL-S-20028,"MAGNOLIA SPRINGS DISTILLERY, LLC",,2802 COTTON ST,MOBILE,AL,36607,S,ACTIVE,
AL-S-20031,GUAJANA DISTILLERY LLC,Guajana Distillery,9582 MADISON BLVD STE 1-3,MADISON,AL,35758,S,ACTIVE,
AL-S-20032,"CAHABA BREWING COMPANY, LLC",CAHABA BREWING COMPANY,4500 5TH AVENUE S BLDG C,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20035,"PERDIDO VINEYARDS OF GEORGIA, INC.",Boogie Bottom Spirits,21889 TURBERVILLE LN,PERDIDO,AL,36562,S,ACTIVE,
AL-S-20037,MURDER CREEK DISTILLERY LLC,,102 S OWA BLVD,FOLEY,AL,36535,S,ACTIVE,
AL-S-20038,"A RIVER RUNS THROUGH IT DISTILLERY, INC.",A River Runs Through It Distillery,736 S ALABAMA AVE UNIT B,MONROEVILLE,AL,36460,S,ACTIVE,
AL-S-20039,"GOOD PEOPLE BREWING COMPANY, LLC",Good People Brewing Company,114 14TH ST S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20041,"STASHHOUSE WHISKEY CO., LLC",,123 LINDSEY RD,CULLMAN,AL,35055,S,ACTIVE,
AL-S-20042,"GHOST TRAIN BREWING COMPANY, INC.",,3501 1ST AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20043,"THE HUNTSVILLE BREWERS COOPERATIVE, LLC",Huntsville Brewers Cooperative,3414 GOVERNORS DR SW STE 605,HUNTSVILLE,AL,35805,S,ACTIVE,
AL-S-20044,AUNTIE JENNI’S MOONSHINE INC,Auntie Jenni's Moonshine,4514 GARY AVE,FAIRFIELD,AL,35064,S,ACTIVE,
AL-S-20045,"UPROOT, LLC",Uproot Spirits,2616 3RD AVE S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20046,"SWEET HOME SPIRITS, INC.",Sweet Home Spirits,8316 PARKWAY DR STE 120,LEEDS,AL,35094,S,ACTIVE,
AL-S-20047,BAMA SHINES LLC,Bama Shines,621 STAR LN,BOLIGEE,AL,35443,S,ACTIVE,
AL-S-20048,PATTERSONS PANTRY LLC,Pantry at Moon Lake Village,5866 E RIVER RD,MENTONE,AL,35984,S,ACTIVE,
AL-S-20050,OLD BLACK BEAR BREWING COMPANY LLC,Old Black Bear Brewing Company,311 S MARION ST,ATHENS,AL,35611,S,ACTIVE,
AL-S-20051,"SHINEWORX WHISKEY COMPANY, LLC",,2250 COUNTY ROAD 222,CULLMAN,AL,35057,S,ACTIVE,
AL-S-20053,MONDAY NIGHT VENTURES LLC,Monday Night Ventures,14 12TH ST S,BIRMINGHAM,AL,35233,S,ACTIVE,
AL-S-20054,CREEK BOTTOM DISTILLING LLC,,34 JEFFERSON AVE,CHATOM,AL,36518,S,ACTIVE,
AL-S-20055,OTTER CREEK DISTILLERY LLC,OTTER CREEK DISTILLERY,3169 SIX FOOT RD,OHATCHEE,AL,36721,S,ACTIVE,
AL-S-20056,GULLAGE ENTERPRISES LLC,,3930 RODEN DR NE,FORT PAYNE,AL,35967,S,ACTIVE,
AL-S-20059,EANDB LLC,Ethos Craft Brewing,1849 COUNTY ROAD 222,CULLMAN,AL,35057,S,ACTIVE,
AL-S-20061,"FOLKLORE BREWING & MEADERY, LLC",FOLKLORE BREWING & MEADERY,153 MARY LOU LN STE 3,DOTHAN,AL,36301,S,ACTIVE,
AL-S-20062,K BUG-13 LLC,KBUG13 Distilling,354 BULLDOG RD,ALTOONA,AL,35952,S,ACTIVE,
AL-S-20063,"DIAGEO AMERICAS SUPPLY, INC.",,7000 CELEBRATION WAY,HOPE HULL,AL,36043,S,ACTIVE,
AL-S-20064,"ALL GOOD MANUFACURING CO., LLC",All Good Manufacturing Co,3501 1ST AVE S,BIRMINGHAM,AL,35222,S,ACTIVE,
AL-S-20065,DRAM ALCHEMY DISTILLING LLC,,235 FOREST RD,HUEYTOWN,AL,35023,S,ACTIVE,
AL-S-20066,"SOUTHERN STILL, LLC",Southern Still,198 SHORT PIKE RD SW STE A,HUNTSVILLE,AL,35824,S,ACTIVE,
AL-S-20067,"OAK BOWERY SPIRITS, LLC",Oak Bowery Spirits,1200 & 1208 1ST AVE,OPELIKA,AL,36801,S,ACTIVE,
AL-S-20068,TRIM TAB BREWING CO. LLC,TrimTab Brewery,2721 S 5TH AVE,BIRMINGHAM,AL,35233,S,ACTIVE,
AR-S-15001,LOMBARDI LLC,LOMBARDI COMPANY,3021 E BROADWAY,NORTH LITTLE ROCK,AR,72114,S,ACTIVE,
AR-S-20001,POSTMASTER SPIRITS INC,,200 HAZEL ST,NEWPORT,AR,72112,S,ACTIVE,
AR-S-20005,FALLING ROCK LLC,Falling Rock Distillery,27377 HIGHWAY 74,HUNTSVILLE,AR,72740,S,ACTIVE,
AR-S-20006,"PERNOD RICARD USA, LLC",Pernod Ricard USA,7401 HIGHWAY 45 SOUTH S,FORT SMITH,AR,72916,S,ACTIVE,
AR-S-20007,"BRICK OVEN PIZZA COMPANY OF HARRISON, INC.",Brick & Forge Brew Works,814 HWY 62-65,HARRISON,AR,72601,S,ACTIVE,
AR-S-20010,JAMES THOMAS ABSTON,SPIRITS OF THE VALLEY,755 ADA VALLEY RD,ADONA,AR,72001,S,ACTIVE,
AR-S-20013,"SCHNEIDER ENDEAVORS, INC.",Butler Creek Distilling,4937 HIGHWAY 187,EUREKA SPRINGS,AR,72631,S,ACTIVE,
AR-S-20015,SANDRO J. LUKANOVIC,CTL Distillery Doberman Ranch,1758 WALLER RD,BEE BRANCH,AR,72013,S,ACTIVE,
