slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-abr,91614780460,SULLIVANS COVE DISTILLERY PTY LTD,self,hand,high,,https://data.gov.au/data/dataset/abn-bulk-extract,"ABN active, private company, business name 'Tasmania Distillery'; ACN 614780460; the earlier Tasmania Distillery Pty Ltd is now A.C.N. 085 534 514 Pty Ltd with a cancelled ABN (82085534514)"
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-abr,75632218494,AUSTRALIAN DISTILLING CO. (TASMANIA) PTY LTD,operator,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via entity name 'AUSTRALIAN DISTILLING CO. (TASMANIA) PTY LTD'; ABN ACT from 2019; Australian Private Company; main business location SA 5069; ACN 632218494; GST ACT; ABR record updated 2022
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-abr,35872135180,The trustee for Sullivan's Cove Trust,self,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via entity name 'The trustee for Sullivan's Cove Trust'; ABN ACT from 2011; Hybrid Trust; main business location VIC 3141; ACN none; GST NON; ABR record updated 2011
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-asic,614780460,SULLIVANS COVE DISTILLERY PTY LTD,self,asic-bulk-name,high,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'SULLIVANS COVE DISTILLERY PTY LTD'; ASIC status REGD; APTY/LMSH/PROP; registered 13/09/2016; state of registration n/a; ABN 91614780460
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-asic,632218494,AUSTRALIAN DISTILLING CO. (TASMANIA) PTY LTD,operator,abr-acn-link,medium,,https://data.gov.au/data/dataset/asic-companies,ACN from ABN 75632218494 (AUSTRALIAN DISTILLING CO. (TASMANIA) PTY LTD); ASIC status REGD; APTY/LMSH/PROP; registered 13/03/2019; state of registration n/a; ABN 75632218494
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-asic,150065651,SULLIVAN'S COVE PTY LTD,self,asic-bulk-name,medium,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'SULLIVAN'S COVE PTY LTD'; ASIC status REGD; APTY/LMSH/PROP; registered 25/03/2011; state of registration n/a; ABN 0
sullivan-s-cove-distillery,Sullivan's Cove Distillery,Australia,au-asic,614780960,SULLIVANS COVE HOLDINGS PTY LTD,self,asic-bulk-name,medium,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'SULLIVANS COVE HOLDINGS PTY LTD'; ASIC status REGD; APTY/LMSH/PROP; registered 13/09/2016; state of registration n/a; ABN 0
lark-distillery,Lark Distillery,Australia,au-abr,57100738074,LARK DISTILLERY PTY LTD,self,hand,high,,https://data.gov.au/data/dataset/abn-bulk-extract,"ABN active, private company; ACN 100738074; subsidiary of the ASX-listed Lark Distilling Co. Ltd"
lark-distillery,Lark Distillery,Australia,au-abr,62104600544,LARK DISTILLING CO. LTD,group,hand,high,,https://data.gov.au/data/dataset/abn-bulk-extract,"ABN active, public company (ASX: LRK); ACN 104600544; main business location TAS 7030"
lark-distillery,Lark Distillery,Australia,au-abr,55091498633,"(partnership of individuals, Other Partnership; trades as LARK DISTILLERY)",self,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via trading name 'LARK DISTILLERY'; ABN CAN from 2002; Other Partnership; main business location TAS 7050 (state agrees); ACN none; GST CAN; ABR record updated 2002
lark-distillery,Lark Distillery,Australia,au-asic,100738074,LARK DISTILLERY PTY LTD,self,abr-acn-link,high,,https://data.gov.au/data/dataset/asic-companies,ACN from ABN 57100738074 (LARK DISTILLERY PTY LTD); ASIC status REGD; APTY/LMSH/PROP; registered 30/05/2002; state of registration n/a; ABN 57100738074
lark-distillery,Lark Distillery,Australia,au-asic,104600544,LARK DISTILLING CO. LTD,self,abr-acn-link,high,,https://data.gov.au/data/dataset/asic-companies,ACN from ABN 62104600544 (LARK DISTILLING CO. LTD); ASIC status REGD; APUB/LMSH/LIST; registered 02/05/2003; state of registration n/a; ABN 62104600544
hellyers-road-distillery,Hellyers Road Distillery,Australia,au-abr,81080055269,HELLYERS ROAD DISTILLERY PTY LTD,self,abr-bulk-name,high,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via entity name 'HELLYERS ROAD DISTILLERY PTY LTD'; ABN ACT from 2000; Australian Private Company; main business location TAS 7320 (postcode agrees); ACN 080055269; GST ACT; ABR record updated 2019
hellyers-road-distillery,Hellyers Road Distillery,Australia,au-asic,080055269,HELLYERS ROAD DISTILLERY PTY LTD,self,asic-bulk-name,high,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'HELLYERS ROAD DISTILLERY PTY LTD'; ASIC status REGD; APTY/LMSH/PROP; registered 12/09/1997; state of registration n/a; ABN 81080055269
four-pillars-gin-distillery,Four Pillars Gin Distillery,Australia,au-abr,89606461367,HEALESVILLE DISTILLING PTY LTD,self,hand,high,,https://data.gov.au/data/dataset/abn-bulk-extract,"ABN active, private company, business names 'Four Pillars Gin' and 'Four Pillars Laboratory'; ACN 606461367; operating company of the Healesville distillery"
four-pillars-gin-distillery,Four Pillars Gin Distillery,Australia,au-abr,13008596370,"LION-BEER,SPIRITS & WINE PTY LTD",group,hand,high,,https://data.gov.au/data/dataset/abn-bulk-extract,"ABN active, ACN 008596370; Lion (Kirin) owns Four Pillars outright since 2023; ABR lists 'Four Pillars Distillery' as a business name on this ABN"
four-pillars-gin-distillery,Four Pillars Gin Distillery,Australia,au-abr,72269823617,The Trustee for The Healesville Distilling Co Trust,operator,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via entity name 'The Trustee for The Healesville Distilling Co Trust'; ABN CAN from 2023; Fixed Unit Trust; main business location VIC 3777 (postcode agrees); ACN none; GST CAN; ABR record updated 2024
four-pillars-gin-distillery,Four Pillars Gin Distillery,Australia,au-asic,606461367,HEALESVILLE DISTILLING PTY LTD,self,abr-acn-link,high,,https://data.gov.au/data/dataset/asic-companies,ACN from ABN 89606461367 (HEALESVILLE DISTILLING PTY LTD); ASIC status REGD; APTY/LMSH/PROP; registered 16/06/2015; state of registration n/a; ABN 89606461367
bakery-hill-distillery,Bakery Hill Distillery,Australia,au-asic,115714246,THE BAKERY HILL COMPANY PTY. LTD.,self,asic-bulk-name,medium,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'THE BAKERY HILL COMPANY PTY. LTD.'; ASIC status REGD; APTY/LMSH/PROP; registered 11/08/2005; state of registration n/a; ABN 0
fannys-bay-distillery,Fannys Bay Distillery,Australia,au-abr,46009577039,M.D. & J.A. COOPER PROPRIETARY LIMITED,self,abr-bulk-name,high,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via business name 'Fannys Bay Distillery'; ABN ACT from 2000; Australian Private Company; main business location TAS 7252 (postcode agrees); ACN 009577039; GST ACT; ABR record updated 2016
fannys-bay-distillery,Fannys Bay Distillery,Australia,au-asic,009577039,M.D. & J.A. COOPER PROPRIETARY LIMITED,self,abr-acn-link,high,,https://data.gov.au/data/dataset/asic-companies,ACN from ABN 46009577039 (M.D. & J.A. COOPER PROPRIETARY LIMITED); ASIC status REGD; APTY/LMSH/PROP; registered 04/11/1988; state of registration TAS; ABN 46009577039
spring-bay-distillery,Spring Bay Distillery,Australia,au-abr,71595859396,The Trustee for CNS Trust,self,abr-bulk-name,high,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via business name 'Spring Bay Distillery'; ABN ACT from 2015; Discretionary Trading Trust; main business location TAS 7004 (state agrees); ACN none; GST ACT; ABR record updated 2022
spring-bay-distillery,Spring Bay Distillery,Australia,au-abr,57183793892,SPRINGBAY RSL SUB BRANCH INC,self,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 0.67 via trading name 'SPRING BAY RSL'; ABN ACT from 2000; Other Unincorporated Entity; main business location TAS 7190 (postcode agrees); ACN none; GST CAN; ABR record updated 2019
spring-bay-distillery,Spring Bay Distillery,Australia,au-abr,22380824400,The Trustee for NOZAWA Super Fund,self,abr-bulk-name,medium,,https://data.gov.au/data/dataset/abn-bulk-extract,"name jaccard 1.00 via business name 'Spring Bay Brewing Co.' (category word differs, no distilling word on this ABN); ABN ACT from 2015; ATO Regulated Self-Managed Superannuation Fund; main business location TAS 7190 (postcode agrees); ACN none; GST NON; ABR record updated 2024"
spring-bay-distillery,Spring Bay Distillery,Australia,au-asic,051397007,SPRING BAY HOLDINGS PTY LTD,self,asic-bulk-name,medium,,https://data.gov.au/data/dataset/asic-companies,name jaccard 1.00 on 'SPRING BAY HOLDINGS PTY LTD'; ASIC status REGD; APTY/LMSH/PROP; registered 18/03/1991; state of registration n/a; ABN 73051397007
southern-wild-distillery,Southern Wild Distillery,Australia,au-abr,11601222682,SOUTHERN WILD DISTILLERY PTY LTD,self,abr-bulk-name,high,,https://data.gov.au/data/dataset/abn-bulk-extract,name jaccard 1.00 via entity name 'SOUTHERN WILD DISTILLERY PTY LTD'; ABN ACT from 2014; Australian Private Company; main business location TAS 7310 (postcode agrees); ACN 601222682; GST ACT; ABR record updated 2026
