slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
adam-brown-55-distilling-co,Adam Brown 55 Distilling Co.,Canada,on-obr,,Adam Brown 55 Distilling Company Limited,self,agco-licence-name,low,,https://www.ontario.ca/page/ontario-business-registry,"no register number read; legal entity from AGCO licence RSAD1154298 (Distillery Retail Store Endorsement, Active, premises 'Adam Brown 55 Distilling Company', MOOREFIELD (city agrees)); name jaccard 1.00; OBR number not obtainable without a portal lookup (no bulk, no API)"
after-dark-distillery,After Dark Distillery,Canada,bc-orgbook,BC1070930,AFTER DARK DISTILLERY LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1070930,name jaccard 1.00 via LCRB licence 307216 licensee; BC Registries BC1070930 status ACT type BC; registered 2016-04-06; BN 775593122; home BC
alberta-distillers-limited,Alberta Distillers Limited,Canada,ab-registry,,Alberta Distillers Limited,self,hand,low,,https://www.alberta.ca/find-corporation-details,no register number read; Alberta corporation (Calgary); Suntory Global Spirits subsidiary; Alberta register is paid via registry agents
alberta-distillers-limited,Alberta Distillers Limited,Canada,corporations-canada,8597324,ALBERTA VINEYARD ESTATES LTD.,self,federal-bulk-name,low,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 0.50; status Dissolved - Dissolved for non-compliance; CBCA; registered office CALGARY, AB (city agrees); BN 845486232; last annual filing n/a"
alberta-distillers-limited,Alberta Distillers Limited,Canada,corporations-canada,2050153,SNC ALBERTA INC.,self,federal-bulk-name,medium,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Dissolved - Dissolved by the corporation; CBCA; registered office CALGARY, AB (city agrees); BN 879521680; last annual filing 1992"
anderson-distilleries,Anderson Distilleries,Canada,bc-orgbook,A0108864,ANDERSON DISTILLERIES INC.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/A0108864,name jaccard 1.00 via pin name; BC Registries A0108864 status ACT type A; registered 2019-02-22; BN 842816993; home FD
anderson-distilleries,Anderson Distilleries,Canada,corporations-canada,8983267,Anderson Distilleries Inc.,self,federal-bulk-name,medium,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office New Westminster, BC; BN 842816993; last annual filing 2026"
antidote-distilling-co,Antidote Distilling Co.,Canada,bc-orgbook,BC1284133,ANTIDOTE DISTILLING CO LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1284133,name jaccard 1.00 via LCRB licence 310810 licensee; BC Registries BC1284133 status ACT type BC; registered 2021-01-15; BN 787724061; home BC
antidote-distilling-co,Antidote Distilling Co.,Canada,bc-orgbook,FM1117715,ANTIDOTE,self,orgbook-topic-search,medium,,https://orgbook.gov.bc.ca/entity/FM1117715,"name jaccard 1.00 via LCRB licence 310810 licensee; BC Registries FM1117715 status ACT type SP (firm name, not a company); registered 2026-09-01; BN 755681970; home BC"
apikol-distillery-meadery,Apikol - Distillery & Meadery,Canada,qc-req,1174918897,APIKOL,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit AH037 (Production artisanale d'hydromel) in force, QUÉBEC (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
arbutus-distillery,Arbutus Distillery,Canada,corporations-canada,8289255,Arbutus Distilleries Inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Nanaimo, BC (city agrees); BN 848036042; last annual filing 2025"
