slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
adam-brown-55-distilling-co,Adam Brown 55 Distilling Co.,Canada,on-agco,RSAD1154298,Adam Brown 55 Distilling Company Limited,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Distillery Retail Store Endorsement; status Active; premises 'Adam Brown 55 Distilling Company', 5 HILWOOD DR., MOOREFIELD; issued 2025-03-13, expires 2027-01-15"
after-dark-distillery,After Dark Distillery,Canada,bc-lcrb,307216,After Dark Distillery Ltd.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'After Dark Distillery Ltd.', 1201 Shuswap Avenue, SICAMOUS (city agrees); name jaccard 1.00"
antidote-distilling-co,Antidote Distilling Co.,Canada,bc-lcrb,310810,Antidote Distilling Co Ltd.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Antidote Distilling Co.', 103 - 4721 Johnston Road, Port Alberni (city agrees); name jaccard 1.00"
apikol-distillery-meadery,Apikol - Distillery & Meadery,Canada,qc-racj,AH037,11671936 CANADA INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Production artisanale d'hydromel; establishment 625-627 BOUL CHAREST EST, QUÉBEC; NEQ 1174918897"
arbutus-distillery,Arbutus Distillery,Canada,bc-lcrb,305824,Arbutus Distilleries Inc.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Arbutus Distillery', 1890 Boxwood Rd, NANAIMO (city agrees); name jaccard 1.00"
aurel-et-compagnie-distillerie-nordique-inc,AUREL ET COMPAGNIE DISTILLERIE NORDIQUE INC.,Canada,qc-racj,AS001,9367-3002 QUÉBEC INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Production artisanale d’alcools et spiritueux; establishment 1045, RUE SIMARD, SAINT-AMBROISE; NEQ 1173137721"
bare-bones-distillery,Bare Bones Distillery,Canada,on-agco,MFD1309125,Bare Bones Distillery Inc.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'Bare Bones Distillery', 705 CLOSSON RD RR 1, HILLIER; issued 2025-10-28, expires 2029-11-02"
bayfield-berry-farm-winery-distillery,"Bayfield Berry Farm, Winery & Distillery",Canada,on-agco,MFD1461433,Bayfield Berry Farm Inc.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'Bayfield Berry Farm', 77697 ORCHARD LINE RR 1, BAYFIELD; issued 2025-05-20, expires 2027-02-07"
beattie-s-distillers,Beattie's Distillers,Canada,on-agco,MFD73413,Beattie's Distillers Inc.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Deemed to Continue; premises 'BEATTIE'S DISTILLERS', 6673 13TH LINE, ALLISTON; issued 2020-09-14, expires 2025-04-29"
bee-wild-distillery,Bee Wild Distillery,Canada,bc-lcrb,311082,Bee Wild Distillery Ltd.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Still Wild Distillery', 4306 Corbett Rd, Pender Island (city agrees); name jaccard 1.00"
best-coast-distillers,Best Coast Distillers,Canada,bc-lcrb,310507,BEST COAST DISTILLERS INC.,self,lcrb-establishment-name,high,,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,"Manufacturer - Distillery; establishment 'Best Coast Distillers', 1725 MCTAVISH ROAD, NORTH SAANICH (city agrees); name jaccard 1.00"
bluepearl-distillerie,BluePearl Distillerie,Canada,qc-racj,DI058,DISTILLERIE BLUEPEARL INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"Distillateur; establishment 5500, RUE HOCHELAGA - LOCAL 650, MONTRÉAL; NEQ 1172619547"
brewery-distillery-tours-niagara,Brewery & Distillery Tours Niagara,Canada,on-agco,MFD1167544,2234685 Ontario Inc.,self,agco-licence-name,high,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'Niagara Distillery', 4915-B,CLIFTON HILL,, NIAGARA FALLS; issued 2025-05-12, expires 2027-04-30"
brewery-distillery-tours-niagara,Brewery & Distillery Tours Niagara,Canada,on-agco,MFD1467900,Spirit in Niagara Distillery Corp.,self,agco-licence-name,medium,,https://www.agco.ca/sites/default/files/opendata/OpenDataManufacturersLicences_En.csv,"Manufacturer's Licence - Distillery; status Active; premises 'Spirit in Niagara', 458 LAKESHORE RD, NIAGARA ON THE LAKE; issued 2025-05-02, expires 2027-08-20"
