slug,registry,company_number,company_name,relation,note,source
the-macallan-distillery,companies-house,SC036374,THE EDRINGTON GROUP LIMITED,group,vault filings watchlist,
highland-park-distillery,companies-house,SC036374,THE EDRINGTON GROUP LIMITED,group,vault filings watchlist,
glenfiddich-distillery,companies-house,SC131772,WILLIAM GRANT & SONS LIMITED,operator,vault filings watchlist,
balvenie-distillery,companies-house,SC131772,WILLIAM GRANT & SONS LIMITED,operator,vault filings watchlist,
glengoyne-distillery,companies-house,SC032696,IAN MACLEOD DISTILLERS LIMITED,operator,vault filings watchlist,
tamdhu-distillery,companies-house,SC032696,IAN MACLEOD DISTILLERS LIMITED,operator,vault filings watchlist,
rosebank-distillery,companies-house,SC032696,IAN MACLEOD DISTILLERS LIMITED,operator,vault filings watchlist,
dalmore-distillery,companies-house,SC221954,WHYTE AND MACKAY GROUP LIMITED,group,vault filings watchlist,
isle-of-jura-distillery,companies-house,SC221954,WHYTE AND MACKAY GROUP LIMITED,group,vault filings watchlist,
fettercairn-distillery,companies-house,SC221954,WHYTE AND MACKAY GROUP LIMITED,group,vault filings watchlist,
tamnavulin-distillery,companies-house,SC221954,WHYTE AND MACKAY GROUP LIMITED,group,vault filings watchlist,
invergordon-distillery,companies-house,SC221954,WHYTE AND MACKAY GROUP LIMITED,group,vault filings watchlist,
the-glenlivet,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
aberlour-distillery,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
strathisla-distillery,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
scapa-distillery,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
longmorn-distillery,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
miltonduff-distillery,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
allt-a-bhainne,companies-house,SC268758,CHIVAS BROTHERS LIMITED,operator,vault filings watchlist,
glenmorangie-distillery,companies-house,SC019038,MACDONALD & MUIR LIMITED,operator,vault filings watchlist; SC026752 The Glenmorangie Company is the non-trading holder,
ardbeg,companies-house,SC019038,MACDONALD & MUIR LIMITED,operator,vault filings watchlist,
isle-of-harris-distillery,companies-house,SC334836,ISLE OF HARRIS DISTILLERS LIMITED,operator,vault filings watchlist; Q100,
isle-of-barra-distillers,companies-house,SC553952,ISLE OF BARRA DISTILLERS LTD,operator,vault filings watchlist; Q100,
isle-of-tiree-distillery,companies-house,SC421934,TIREE WHISKY COMPANY LIMITED,self,"Tiree Whisky Company Ltd; SIC 11010; reg office West Hynish, Tiree",https://find-and-update.company-information.service.gov.uk/company/SC421934
ogilvy-distillery,companies-house,SC455172,OGILVY SPIRITS LIMITED,self,Ogilvy Spirits Ltd; SIC 11010; Hatton of Ogilvy Farm DD8 1UH = site,https://find-and-update.company-information.service.gov.uk/company/SC455172
ninefold-rum-distillery,companies-house,SC559347,DORMONT DISTILLING LIMITED,self,Dormont Distilling Ltd; SIC 11010; reg office Ninefold Distillery DG11 1DJ,https://find-and-update.company-information.service.gov.uk/company/SC559347
masons-distillery,companies-house,08303103,MASONS OF YORKSHIRE LTD,self,"Masons of Yorkshire Ltd; SIC 11010; reg office Masons Distillery, Leeming Bar DL7 9EE",https://find-and-update.company-information.service.gov.uk/company/08303103
devil-s-dyke-distillery,companies-house,13852713,DEVILS DYKE GIN LTD,self,Devils Dyke Gin Ltd; SIC 11010; 28 Kings Road BN42 4RJ = site,https://find-and-update.company-information.service.gov.uk/company/13852713
pink-house-distillery,companies-house,13080875,PINKHOUSE DISTILLERY LTD,self,Pinkhouse Distillery Ltd; SIC 11010; Bishopthorpe YO23 2RB = site,https://find-and-update.company-information.service.gov.uk/company/13080875
mousehall-distillery-winery,companies-house,11141959,MOUSEHALL ESTATE LTD,self,"Mousehall Estate Ltd; SIC 01210, 11010, 11020; Mousehall TN5 6PG = site",https://find-and-update.company-information.service.gov.uk/company/11141959
colwith-farm-distillery-cafe-cafe-open-9am-to-4pm-tuesday-to-saturday,companies-house,09882249,COLWITH FARM DISTILLERY LIMITED,self,"SIC 11010; reg office Colwith Farm, Par",https://find-and-update.company-information.service.gov.uk/company/09882249
