slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
belgian-owl-distillery,Belgian Owl Distillery,Belgium,opencorporates:be,0867330745,Belgian Owl Distillery,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694797,name jaccard 1.00
biercee-distillery,Biercée Distillery,Belgium,opencorporates:be,0401630775,Biercée Distillery,self,wikidata-name,high,,http://www.wikidata.org/entity/Q24936827,name jaccard 1.00
braeckman,Braeckman,Belgium,opencorporates:be,0454083625,Braeckman,self,wikidata-name,high,,http://www.wikidata.org/entity/Q3197953,name jaccard 1.00
brouwerij-wilderen,Brouwerij Wilderen,Belgium,opencorporates:be,0890455842,Brouwerij Wilderen,self,wikidata-name,high,,http://www.wikidata.org/entity/Q2174139,name jaccard 1.00
bruggeman,Bruggeman,Belgium,opencorporates:be,0434965222,Bruggeman,self,wikidata-name,high,,http://www.wikidata.org/entity/Q13445770,name jaccard 1.00
cockney-s-distillery,Cockney's Distillery,Belgium,opencorporates:be,0558867280,Cockney's Distillery,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694289,name jaccard 1.00
cosemans,Cosemans,Belgium,opencorporates:be,0415054882,Cosemans,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694292,name jaccard 1.00
de-cort-distillery,De Cort Distillery,Belgium,opencorporates:be,0873089575,De Cort,self,wikidata-name,high,,http://www.wikidata.org/entity/Q123067496,name jaccard 1.00
de-korhaan,De Korhaan,Belgium,opencorporates:be,0401320474,De Korhaan,self,wikidata-name,high,,http://www.wikidata.org/entity/Q13750103,name jaccard 1.00
de-l-auvre,De L'Auvre,Belgium,opencorporates:be,0414893447,De L'Auvre,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694304,name jaccard 1.00
de-moor,De Moor,Belgium,opencorporates:be,0442041569,De Moor,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694306,name jaccard 1.00
distillerie-du-fays,DISTILLERIE DU FAYS,Belgium,opencorporates:be,0450939439,Distillerie du Centenaire,self,wikidata-name,medium,,http://www.wikidata.org/entity/Q116694823,name jaccard 0.50
distillerie-j-de-bruyn,Distillerie J. De Bruyn,Belgium,opencorporates:be,0418977147,"De Bruyn, J.",self,wikidata-name,medium,,http://www.wikidata.org/entity/Q116694299,name jaccard 0.67
distillerie-radermacher,Distillerie Radermacher,Belgium,opencorporates:be,0472170660,Distillerie Radermacher,self,wikidata-name,high,,http://www.wikidata.org/entity/Q20821529,name jaccard 1.00
distillery-de-beukelaer,Distillery De Beukelaer,Belgium,opencorporates:be,0428760190,Distillery De Beukelaer,self,wikidata-name,high,,http://www.wikidata.org/entity/Q58864594,name jaccard 1.00
distillery-de-stoop,Distillery De Stoop,Belgium,opencorporates:be,0435685002,Distillery De Stoop,self,wikidata-name,high,,http://www.wikidata.org/entity/Q1867158,name jaccard 1.00
filliers,Filliers,Belgium,opencorporates:be,0401021457,Filliers,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694330,name jaccard 1.00
fryns,Fryns,Belgium,opencorporates:be,0401299094,Fryns,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694332,name jaccard 1.00
grandes-distilleries-de-charleroi,Grandes Distilleries de Charleroi,Belgium,opencorporates:be,0401635131,Grandes Distilleries de Charleroi,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694835,name jaccard 1.00
hougardia,Hougardia,Belgium,opencorporates:be,0400951577,Hougardia,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694340,name jaccard 1.00
konings,Konings,Belgium,opencorporates:be,0434680160,Konings,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694346,name jaccard 1.00
likeurstokerij-t-zwaantje,Likeurstokerij 't Zwaantje,Belgium,opencorporates:be,0405086846,Likeurstokerij 't Zwaantje,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694359,name jaccard 1.00
massy,Massy,Belgium,opencorporates:be,0452468772,Massy,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694369,name jaccard 1.00
neefs,Neefs,Belgium,opencorporates:be,0404844049,Neefs,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694374,name jaccard 1.00
notermans,Notermans,Belgium,opencorporates:be,0401286525,Notermans,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694378,name jaccard 1.00
rubbens,Rubbens,Belgium,opencorporates:be,0418306758,Rubbens,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694392,name jaccard 1.00
simkens,Simkens,Belgium,opencorporates:be,0403790610,Simkens,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694398,name jaccard 1.00
van-goethem,Van Goethem,Belgium,opencorporates:be,0405071307,Van Goethem,self,wikidata-name,high,,http://www.wikidata.org/entity/Q15873553,name jaccard 1.00
van-leemput,Van Leemput,Belgium,opencorporates:be,0574521496,Van Leemput,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694426,name jaccard 1.00
vanderlinden,Vanderlinden,Belgium,opencorporates:be,0675457817,Vanderlinden,self,wikidata-name,high,,http://www.wikidata.org/entity/Q119999042,name jaccard 1.00
verhofstede,Verhofstede,Belgium,opencorporates:be,0832597025,Verhofstede,self,wikidata-name,high,,http://www.wikidata.org/entity/Q116694437,name jaccard 1.00
1769-distillery-inc,1769 Distillery Inc.,Canada,corporations-canada,8651027,1769 DISTILLERY INC.,self,racj-permit-name+federal-bulk,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"legal name from RACJ permit DI031 (MONTRÉAL), name jaccard 1.00; federal status Active; CBCA; registered office Montreal, QC; BN 836839035; last annual filing 2025"
1769-distillery-inc,1769 Distillery Inc.,Canada,qc-req,1169526531,1769 DISTILLERIE INC.,self,racj-permit-name,medium,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI031 (Distillateur) in force, MONTRÉAL; NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
after-dark-distillery,After Dark Distillery,Canada,bc-orgbook,BC1070930,AFTER DARK DISTILLERY LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1070930,name jaccard 1.00 via LCRB licence 307216 licensee; BC Registries BC1070930 status ACT type BC; registered 2016-04-06; BN 775593122; home BC
anderson-distilleries,Anderson Distilleries,Canada,bc-orgbook,A0108864,ANDERSON DISTILLERIES INC.,self,orgbook-topic-search,medium,,https://orgbook.gov.bc.ca/entity/A0108864,name jaccard 1.00 via pin name; BC Registries A0108864 status ACT type A; registered 2019-02-22; BN 842816993; home FD
antidote-distilling-co,Antidote Distilling Co.,Canada,bc-orgbook,BC1284133,ANTIDOTE DISTILLING CO LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1284133,name jaccard 1.00 via LCRB licence 310810 licensee; BC Registries BC1284133 status ACT type BC; registered 2021-01-15; BN 787724061; home BC
antidote-distilling-co,Antidote Distilling Co.,Canada,bc-orgbook,FM1117715,ANTIDOTE,self,orgbook-topic-search,medium,,https://orgbook.gov.bc.ca/entity/FM1117715,"name jaccard 1.00 via LCRB licence 310810 licensee; BC Registries FM1117715 status ACT type SP (firm name, not a company); registered 2026-09-01; BN 755681970; home BC"
arbutus-distillery,Arbutus Distillery,Canada,bc-orgbook,A0087167,ARBUTUS DISTILLERIES INC. ,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/A0087167,name jaccard 1.00 via LCRB licence 305824 licensee; BC Registries A0087167 status ACT type A; registered 2012-09-18; BN 848036042; home FD
arbutus-distillery,Arbutus Distillery,Canada,corporations-canada,8289255,Arbutus Distilleries Inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Nanaimo, BC (city agrees); BN 848036042; last annual filing 2025"
aurel-et-compagnie-distillerie-nordique-inc,AUREL ET COMPAGNIE DISTILLERIE NORDIQUE INC.,Canada,qc-req,1173137721,AUREL ET COMPAGNIE DISTILLERIE NORDIQUE,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit AS001 (Production artisanale d’alcools et spiritueux) in force, SAINT-AMBROISE (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
authentic-seacoast-company,Authentic Seacoast Company,Canada,corporations-canada,8217084,AUTHENTIC SEACOAST DISTILLING COMPANY LTD.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Guysborough, NS (city agrees); BN 807577887; last annual filing 2026"
bare-bones-distillery,Bare Bones Distillery,Canada,corporations-canada,14105826,Bare Bones Distillery Inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Hillier, ON (city agrees); BN 720903004; last annual filing 2025"
bee-wild-distillery,Bee Wild Distillery,Canada,bc-orgbook,BC1363042,BEE WILD DISTILLERY LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1363042,name jaccard 1.00 via LCRB licence 311082 licensee; BC Registries BC1363042 status ACT type BC; registered 2022-05-16; BN 725510002; home BC
best-coast-distillers,Best Coast Distillers,Canada,bc-orgbook,BC1302104,BEST COAST DISTILLERS INC.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC1302104,name jaccard 1.00 via LCRB licence 310507 licensee; BC Registries BC1302104 status ACT type BC; registered 2021-04-26; BN 762400067; home BC
best-coast-distillers,Best Coast Distillers,Canada,bc-orgbook,FM0804250,BEST COAST DISTILLERS,self,orgbook-topic-search,medium,,https://orgbook.gov.bc.ca/entity/FM0804250,"name jaccard 1.00 via LCRB licence 310507 licensee; BC Registries FM0804250 status ACT type SP (firm name, not a company); registered 2020-04-22; BN 803913466; home BC"
bluepearl-distillerie,BluePearl Distillerie,Canada,corporations-canada,10147753,Distillerie BluePearl Inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Montréal, QC (city agrees); BN 723108924; last annual filing 2026"
bluepearl-distillerie,BluePearl Distillerie,Canada,qc-req,1172619547,BLUEPEARL DISTILLERIE,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI058 (Distillateur) in force, MONTRÉAL (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
