slug,distillery_name,rank,score,company_num,company_name,status,type,reg_date,nace,last_accounts,address
teeling-distillery,Teeling Distillery,1,1.30,510875,TEELING WHISKEY COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2012-03-16,,2025-03-31,"DUBLIN 8, DUBLIN, IRELAND"
teeling-distillery,Teeling Distillery,2,0.80,694792,TEELING CONTRACTING LIMITED,Normal,LTD - Private Company Limited by Shares,2021-05-07,4322.0,2026-04-30,",WICKLOW"
teeling-distillery,Teeling Distillery,3,0.80,580869,TEELING PHARMACIES LIMITED,Normal,LTD - Private Company Limited by Shares,2016-04-18,4773.0,2025-09-30,"CO. SLIGO, SLIGO, IRELAND"
tullamore-d-e-w-distillery,Tullamore D.E.W. Distillery,1,1.30,589310,TULLAMORE FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2016-09-14,150.0,2024-12-31,DUBLIN 12
tullamore-d-e-w-distillery,Tullamore D.E.W. Distillery,2,1.30,410404,M.H.P. (TULLAMORE) LIMITED,Normal,LTD - Private Company Limited by Shares,2005-11-07,,2024-12-31,"TULLAMORE,OFFALY"
tullamore-d-e-w-distillery,Tullamore D.E.W. Distillery,3,1.00,94009,M.E.W. (TULLAMORE) LIMITED,Dissolved,Single member private company limited by shares,1983-04-06,,2014-04-30,"TULLAMORE, OFFALY"
jameson-distillery-midleton,Jameson Distillery Midleton,1,1.00,16239,MIDLETON DISTILLERIES LIMITED,Normal,LTD - Private Company Limited by Shares,1956-09-21,,2025-06-30,"BALLSBRIDGE,DUBLIN"
jameson-distillery-midleton,Jameson Distillery Midleton,2,0.50,9399,"JAMESON & CO, LIMITED",Dissolved-20 years,Private limited by shares,1937-04-01,,1999-04-05,DUBLIN
jameson-distillery-midleton,Jameson Distillery Midleton,3,0.50,66598,T.W. MIDLETON LIMITED,Dissolved,Private,1979-01-17,,,CORK
pearse-lyons-distillery,Pearse Lyons Distillery,1,0.80,99349,PEARSE TRUST UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1984-01-24,,2024-12-31,"SANDYFORD,DUBLIN"
pearse-lyons-distillery,Pearse Lyons Distillery,2,0.80,766029,LYONS BAR LIMITED,Normal,LTD - Private Company Limited by Shares,2024-06-17,5630.0,2024-12-31,"Killarney,KERRY"
pearse-lyons-distillery,Pearse Lyons Distillery,3,0.80,496386,DES LYONS PLANT LIMITED,Normal,LTD - Private Company Limited by Shares,2011-03-18,,2025-04-30,"BALLINASLOE,GALWAY"
roe-co-distillery,Roe & Co Distillery,1,1.60,600439,J ROE WHISKEY LIMITED,Normal,LTD - Private Company Limited by Shares,2017-03-15,1101.0,2024-12-31,Dublin
roe-co-distillery,Roe & Co Distillery,2,1.30,698332,B.B+ROE LIMITED,Normal,LTD - Private Company Limited by Shares,2021-06-17,6810.0,2025-06-30,Waterford
roe-co-distillery,Roe & Co Distillery,3,1.30,633154,D & S ROE LIMITED,Normal,LTD - Private Company Limited by Shares,2018-08-31,4531.0,2025-08-31,"DUBLIN 24, DUBLIN, IRELAND"
croithli,Croithlí,1,0.50,321301,CLODAIREACHT CROITHLI TEORANTA,Dissolved,Private limited by shares,2000-02-22,,2005-04-30,"DONEGAL, IRELAND"
kilbeggan-distillery,Kilbeggan Distillery,1,1.20,92996,KILBEGGAN DISTILLERY COMPANY LIMITED,Dissolved,Private,1983-01-27,,2005-04-30,"ROSCREA, TIPPERARY"
kilbeggan-distillery,Kilbeggan Distillery,2,1.00,29701,KILBEGGAN HOLDINGS LIMITED,Dissolved,Private,1969-09-16,,,"MULLINGAR,WESTMEATH"
kilbeggan-distillery,Kilbeggan Distillery,3,1.00,154964,KILBEGGAN WHISKEY UNLIMITED COMPANY,Dissolved,ULC - Private Unlimited Company,1990-02-13,,2014-12-31,"CO. WESTMEATH, WESTMEATH"
dingle-distillery,Dingle Distillery,1,1.00,445155,DINGLE WHISKEY COMPANY LIMITED,Dissolved,Private limited by shares,2007-08-24,,2009-12-31,"DINGLE, KERRY, IRELAND"
dingle-distillery,Dingle Distillery,2,1.00,26568,DINGLE LIMITED,Dissolved,Unknown,,,,********NO ADDRESS DETAILS*******
dingle-distillery,Dingle Distillery,3,1.00,141858,DINGLE TRUST LIMITED,Dissolved,Private limited by shares,1989-03-21,,,DUBLIN 2
waterford-distillery,Waterford Distillery,1,1.80,809063,WATERFORD DISTILLING GROUP LIMITED,Normal,LTD - Private Company Limited by Shares,2026-02-19,1101.0,,"Dublin 1, DUBLIN, Ireland"
waterford-distillery,Waterford Distillery,2,1.50,548210,Spirit of Waterford Distillery LIMITED,Normal,LTD - Private Company Limited by Shares,2014-08-20,,2022-12-31,"DUBLIN 4, DUBLIN, Ireland"
waterford-distillery,Waterford Distillery,3,1.30,538326,THE WATERFORD WHISKEY COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2014-01-22,,2025-12-31,"CLONTARF, DUBLIN, IRELAND"
west-cork-distillers,West Cork Distillers,1,1.60,698642,WEST CORK DRINKS  LIMITED,Normal,LTD - Private Company Limited by Shares,2021-06-22,1101.0,2025-05-31,"BANDON,CORK"
west-cork-distillers,West Cork Distillers,2,1.50,452466,WEST CORK DISTILLERS LIMITED,Normal,LTD - Private Company Limited by Shares,2008-01-25,,2024-12-31,"SKIBBEREEN,CORK"
west-cork-distillers,West Cork Distillers,3,1.30,407479,THE WEST CORK HOTEL LIMITED,Normal,LTD - Private Company Limited by Shares,2005-09-01,,2024-12-31,"SKIBBEREEN, CORK, IRELAND"
clonakilty-distillery,Clonakilty Distillery,1,1.80,574822,CLONAKILTY DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2016-01-08,1101.0,2024-12-31,"Clonakilty, CORK, Ireland"
clonakilty-distillery,Clonakilty Distillery,2,1.30,743575,BREWERY BAR CLONAKILTY LIMITED,Normal,LTD - Private Company Limited by Shares,2023-06-22,5630.0,2025-12-31,"Clonakilty,CORK"
