slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
st-kilian-distillers,St. Kilian Distillers,Germany,de-offeneregister,Aschaffenburg HRB 12206,St. Kilian Distillers GmbH,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D4102V_HRB12206,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-24 (2017-2019 snapshot, not current); Aschaffenburg HRB 12206; registered office Rüdenau (city agrees); address Hauptstraße 1 - 5, 63924 Rüdenau."
st-kilian-distillers,St. Kilian Distillers,Germany,de-offeneregister,Wittlich HRB 3199,St. Kilian Wein GmbH,self,offeneregister-bulk-name,medium,,https://opencorporates.com/companies/de/T2408V_HRB3199,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-22 (2017-2019 snapshot, not current); Wittlich HRB 3199; registered office Longuich; address n/a"
slyrs,Slyrs,Germany,de-offeneregister,München HRA 82320,SLYRS Destillerie GmbH & Co. KG,self,hand,high,,https://offeneregister.de/,"Slyrs, Bayrischzeller Str., Schliersee; 'currently registered' in the OffeneRegister snapshot; sister company of LANTENHAMMER Destillerie GmbH (München HRB 155682), Stetter family"
sulfelder-korn,Sülfelder Korn,Germany,de-offeneregister,Braunschweig früher Wolfsburg HRA 1042,"Sülfelder Korn KG,  E. Sprenger",self,offeneregister-bulk-name,low,,https://opencorporates.com/companies/de/P1103_P2413_HRA1042,"name jaccard 0.50; OffeneRegister status 'removed' as of 2018-06-19 (2017-2019 snapshot, not current); Braunschweig früher Wolfsburg HRA 1042; registered office Wolfsburg (city agrees); address n/a"
destillerie-likormanufaktur-deheck-e-k,Destillerie & Likörmanufaktur Deheck e.K.,Germany,de-offeneregister,Mainz HRA 42396,Deheck Destillerie- und Likörmanufaktur e.K.,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/T2304V_HRA42396,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-26 (2017-2019 snapshot, not current); Mainz HRA 42396; registered office Gau-Odernheim; address Mainzer Straße 25, 55239 Gau-Odernheim."
weingut-klaus-simon,Weingut Klaus Simon,Germany,de-offeneregister,Ulm HRB 660198,Klaus Simon GmbH,self,offeneregister-bulk-name,low,,https://opencorporates.com/companies/de/B8537_HRB660198,"name jaccard 1.00; OffeneRegister status 'removed' as of 2017-06-20 (2017-2019 snapshot, not current); Ulm HRB 660198; registered office Heidenheim an der Brenz; address n/a"
brennerei-ernst-ziegler,Brennerei Ernst Ziegler,Germany,de-offeneregister,Landshut HRA 6087,Ernst Ziegler,self,offeneregister-bulk-name,medium,,https://opencorporates.com/companies/de/D2404V_HRA6087,"name jaccard 1.00; OffeneRegister status 'removed' as of 2018-06-23 (2017-2019 snapshot, not current); Landshut HRA 6087; registered office Landshut; address n/a"
drei-linden,Drei Linden,Germany,de-offeneregister,Osnabrück HRB 204825,Drei Linden GmbH,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/P3313_HRB204825,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-30 (2017-2019 snapshot, not current); Osnabrück HRB 204825; registered office Bramsche; address Am Steinwerk 5, 49565 Bramsche."
drei-linden,Drei Linden,Germany,de-offeneregister,Osnabrück HRB 207437,Hotel Drei Linden GmbH,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/P3313_HRB207437,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-30 (2017-2019 snapshot, not current); Osnabrück HRB 207437; registered office Twist; address Am Marktplatz 1, 49767 Twist."
birgitta-rust-piekfeine-brande,Birgitta Rust Piekfeine Brände,Germany,de-offeneregister,Bremen früher Bremen HRA 25843,Birgitta Rust Piekfeine Brände e.K.,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/H1101_H1101_HRA25843,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-25 (2017-2019 snapshot, not current); Bremen früher Bremen HRA 25843; registered office Bremen (city agrees); address n/a"
steinwalder-hausbrennerei-schraml,Steinwälder Hausbrennerei Schraml,Germany,de-offeneregister,Weiden i. d. OPf. HRA 840,Steinwälder Hausbrennerei Schraml e.K.,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D3508V_HRA840,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-19 (2017-2019 snapshot, not current); Weiden i. d. OPf. HRA 840; registered office Erbendorf (city agrees); address Pfarrgasse 22, 92681 Erbendorf."
edelbrennerei-haas,Edelbrennerei Haas,Germany,de-offeneregister,Bamberg HRA 11605,Edelbrennerei Haas GmbH & Co. KG,self,offeneregister-bulk-name,high,,https://opencorporates.com/companies/de/D4201V_HRA11605,"name jaccard 1.00; OffeneRegister status 'currently registered' as of 2018-06-24 (2017-2019 snapshot, not current); Bamberg HRA 11605; registered office Pretzfeld (city agrees); address Schmiedsgasse 2, 91362 Pretzfeld."
edelbrennerei-erich-lang,Edelbrennerei Erich Lang,Germany,de-offeneregister,Wuppertal HRA 13839,Erich Lang OHG,self,offeneregister-bulk-name,low,,https://opencorporates.com/companies/de/R1608_HRA13839,"name jaccard 1.00; OffeneRegister status 'removed' as of 2018-06-24 (2017-2019 snapshot, not current); Wuppertal HRA 13839; registered office Wuppertal; address n/a"
sasse-feinbrennerei,Sasse Feinbrennerei,Germany,de-offeneregister,Coesfeld HRA 2390,Sasse Korn- Branntweinbrennerei GmbH & Co. KG,self,offeneregister-bulk-name,medium,,https://opencorporates.com/companies/de/R2707_HRA2390,"name jaccard 1.00; OffeneRegister status 'removed' as of 2018-06-21 (2017-2019 snapshot, not current); Coesfeld HRA 2390; registered office Schöppingen (city agrees); address n/a"
santis-malt,Säntis Malt,Switzerland,ch-zefix,CHE-101.250.882,Brauerei Locher Aktiengesellschaft,operator,hand,high,,https://www.zefix.admin.ch/de/search/entity/list/firm/457869,"Säntis Malt is the whisky brand of Brauerei Locher Aktiengesellschaft, Appenzell; UID CHE-101.250.882 and address Brauereiplatz 1, 9050 Appenzell read directly from the LINDAS Zefix core-data dump (register.ld.admin.ch/zefix/company/457869)"
