slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
brennerei-gubser-gmbh,Brennerei Gubser GmbH,Switzerland,ch-bazg-lohnbrennerei,,Brennerei Gubser GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 7012 Felsberg GR (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennerei-hurst-gmbh,Brennerei Hürst Gmbh,Switzerland,ch-bazg-lohnbrennerei,,Brennerei Hürst GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 3150 Schwarzenburg BE (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennerei-kramer-ag,Brennerei Kramer AG,Switzerland,ch-bazg-lohnbrennerei,,Brennerei Kramer AG,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 3412 Heimiswil BE (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennerei-marchon-gmbh,Brennerei Marchon GmbH,Switzerland,ch-bazg-lohnbrennerei,,Brennerei Marchon GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 3178 Bösingen FR (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennerei-schwab-gmbh,Brennerei Schwab GmbH,Switzerland,ch-bazg-lohnbrennerei,,Brennerei Schwab GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 3298 Oberwil b. Büren BE (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennerei-zum-tropfli-gmbh,Brennerei zum Tröpfli GmbH,Switzerland,ch-bazg-lohnbrennerei,,Brennerei zum Tröpfli GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 8912 Obfelden ZH (location agrees); name jaccard 1.00; contract distiller, not a register number"
brennlokal-distillerie-seetal,Brennlokal Distillerie Seetal,Switzerland,ch-bazg-lohnbrennerei,,Distillerie Seetal GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 6276 Hohenrain LU (location agrees); name jaccard 0.50; contract distiller, not a register number"
bruni-brennerei,Bruni Brennerei,Switzerland,ch-bazg-lohnbrennerei,,Bruni Brennerei GmbH,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 3633 Amsoldingen BE (location agrees); name jaccard 1.00; contract distiller, not a register number"
cave-et-distillerie-de-la-ruelle-beyeler-daniel,"Cave et Distillerie de la Ruelle, Beyeler Daniel",Switzerland,ch-bazg-lohnbrennerei,,Daniel Cave et Distillerie de la Ruelle,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 2012 Auvernier NE (location agrees); name jaccard 0.67; contract distiller, not a register number"
distilleria-jelmini-pierluigi,Distilleria Jelmini Pierluigi,Switzerland,ch-bazg-lohnbrennerei,,Pierluigi Jelmini,self,bazg-list-name,low,,https://www.bazg.admin.ch/dam/de/sd-web/7m2WSkYkaDRN/Adressliste%20Lohnbrenner_07_2026_DE.pdf,"no register number read; BAZG Liste der Lohnbrennereien, Stand 01.07.2026; 6850 Mendrisio TI (location agrees); name jaccard 1.00; contract distiller, not a register number"
