slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
alambic-bourguignon,Alambic Bourguignon,France,fr-sirene,840747752,ALAMBIC BOURGUIGNON,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/840747752,"name jaccard 1.00 on 'ALAMBIC BOURGUIGNON'; UL active; NAF 11.01Z; created 2018-06-28; SIRET 84074775200029 21200 BEAUNE siege; dirigeants: THE LIQUOR CLUB (Président de SAS, SIREN 824401962)"
alambic-bourguignon-sab-s-distillery,Alambic bourguignon - SAB'S Distillery,France,fr-sirene,840747752,ALAMBIC BOURGUIGNON,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/840747752,"name jaccard 1.00 on 'ALAMBIC BOURGUIGNON'; UL active; NAF 11.01Z; created 2018-06-28; SIRET 84074775200029 21200 BEAUNE (postcode/city agrees) siege; dirigeants: THE LIQUOR CLUB (Président de SAS, SIREN 824401962)"
altitude,Altitude,France,fr-sirene,993388495,ALTITUDE DISTILLERIE,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/993388495,name jaccard 1.00 on 'ALTITUDE DISTILLERIE'; UL active; NAF 11.01Z; created 2025-09-09; SIRET 99338849500018 74310 LES HOUCHES siege; dirigeants: TIMOTHY WELCH (Gérant)
ancienne-distillerie,ancienne distillerie,France,fr-sirene,909630055,SCI ANCIENNE DISTILLERIE,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/909630055,"property/construction company, not the operator; name jaccard 1.00 on 'SCI ANCIENNE DISTILLERIE'; UL active; NAF 68.20B; created 2022-01-13; SIRET 90963005500012 67330 KIRRWILLER siege; dirigeants: CYRIL ABDELKADER (Associé indéfiniment responsable); JOHANNA SCHAEFFER (MEUWESE) (Associé indéfiniment responsable); BERNARD SCHAEFFER (Gérant et associé indéfiniment responsable)"
ancienne-distillerie,ancienne distillerie,France,fr-sirene,400315909,SCI ANCIENNE DISTILLERIE,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/400315909,"property/construction company, not the operator; name jaccard 1.00 on 'SCI ANCIENNE DISTILLERIE'; UL active; NAF 68.20B; created 1995-03-01; SIRET 40031590900012 34500 BEZIERS siege; dirigeants: BERNARD LAUZE (Gérant); JEAN LAUZE (Gérant)"
armagnac-delord,Armagnac Delord,France,fr-sirene,396520017,ETABLISSEMENTS DELORD FRERES,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/396520017,name jaccard 1.00 on 'ETABLISSEMENTS DELORD FRERES'; UL active; NAF 11.01Z; created 1965-01-01; SIRET 39652001700015 32190 LANNEPAX (postcode/city agrees) siege; dirigeants: JACQUES DELORD (Administrateur); JEROME DELORD (DELORD) (Président du conseil d’administration et directeur général); SYLVAIN DELORD (DELORD) (Administrateur)
artisan-distillery-jos-nusbaumer,Artisan Distillery Jos. Nusbaumer,France,fr-sirene,379315294,DISTILLERIE ARTISANALE JOS NUSBAUMER,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/379315294,"name jaccard 1.00 on 'DISTILLERIE ARTISANALE JOS NUSBAUMER'; UL active; NAF 11.01Z; created 1990-09-06; SIRET 37931529400023 67220 STEIGE (postcode/city agrees) siege; dirigeants: UCID SARL (Président de SAS, SIREN 834256976)"
avelenn,Avelenn,France,fr-sirene,811806124,AVELENN,self,sirene-name-search,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/811806124,name jaccard 1.00 on 'AVELENN'; UL active; NAF 01.28Z; created 2015-05-13; SIRET 81180612400012 56220 SAINT JACUT LES PINS (postcode/city agrees) siege; dirigeants: OLIVIER GUILLEUX (Gérant); ALICE LESTEVEN (Gérant)
bear-brothers-distillerie,Bear Brothers Distillerie,France,fr-sirene,850169921,DISTILLERIE DES PYRENEES,self,sirene-name-search,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/850169921,"name jaccard 1.00 on 'BEAR BROTHERS'; UL active; NAF 11.01Z; created 2019-04-16; SIRET 85016992100036 31320 AUZEVILLE TOLOSANE (postcode/city agrees) siege; dirigeants: MALTINVEST (Président de SAS, SIREN 984155549)"
bigourdan-distillerie-de-camargue,Bigourdan Distillerie de Camargue,France,fr-sirene,849952221,BIGOURDAN,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/849952221,name jaccard 0.50 on 'BIGOURDAN'; UL active; NAF 11.01Z; created 2019-04-15; SIRET 84995222100026 13200 ARLES (postcode/city agrees) siege; dirigeants: THOMAS BIGOURDAN (Gérant)
black-mountain-compagnie,Black Mountain Compagnie,France,fr-sirene,538356395,BLACK MOUNTAIN COMPAGNIE,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/538356395,"name jaccard 1.00 on 'BLACK MOUNTAIN COMPAGNIE'; UL active; NAF 11.01Z; created 2011-12-02; SIRET 53835639500011 81260 ANGLES (departement agrees) siege; dirigeants: CEDRIC LEPRETTE (Président de SAS); CABINET AUDIT STRATÉGIE EXPERTISE (Commissaire aux comptes titulaire, SIREN 343887550)"
