slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
adinco-distilleries,Adinco Distilleries,India,in-mca,U15500GA2012PTC007006,ADINCO DISTILLERIES PRIVATE LIMITED,self,hand,high,,https://www.data.gov.in/catalog/company-master-data,"on the Goa Excise unit list (Quepem); 2015 file; MCA status ACTIVE (2015 snapshot); registered 30-07-2012, ROC RoC-Goa, Goa; registered office H.NO.350/A RESURRECTION BLDG, MOLL AVEDEM QUEPEM Goa INDIA 403705; activity: Manufacturing (Food stuffs)"
alcobrew-distilleries-india-ltd,Alcobrew Distilleries India Ltd,India,in-mca,U15520DL2002PTC117974,ALCOBREW DISTILLERIES INDIA PRIVATE LIMITED,self,hand,high,,https://www.data.gov.in/catalog/company-master-data,"head office pin, Gurugram HR; 2015 snapshot name (private), later Alcobrew Distilleries India Limited; MCA status ACTIVE (2015 snapshot); registered 10-12-2002, ROC RoC-Delhi, Delhi; registered office C-423 SARITA VIHAR NEW DELHI Delhi INDIA 110044; activity: Manufacturing (Food stuffs)"
alcobrew-distilleries-india-ltd,Alcobrew Distilleries India Ltd,India,in-mca,U15520DL2002PLC117974,Our Locations Registered Office Alcobrew Distilleries India Ltd.,self,website-regno,high,,http://www.alcobrew.com/contact-us,"CIN printed on the distillery's website (http://www.alcobrew.com/contact-us); not in the 2015 MCA snapshot (incorporated later or other state); name from page: 'Our Locations Registered Office Alcobrew Distilleries India Ltd.'; page context: 'her. --> Our Locations Registered Office Alcobrew Distilleries India Ltd. C – 423, Sarita Vihar, New Delhi – 110076 Contact: 011-26948156 or'"
allied-blenders-and-distillers-limited,Allied Blenders And Distillers Limited,India,in-mca,U15511MH2008PTC187368,ALLIED BLENDERS AND DISTILLERS PRIVATE LIMITED,self,hand,high,,https://www.data.gov.in/catalog/company-master-data,"ABD's Rangapur (Telangana) distillery; company renamed Allied Blenders and Distillers Limited on listing in 2024; MCA status ACTIVE (2015 snapshot); registered 8-10-2008, ROC RoC-Mumbai, Maharashtra; registered office 394-C Lamington Chambers Lamington Road Mumbai Maharashtra INDIA 400004; activity: Manufacturing (Food stuffs)"
allied-blenders-and-distillers-limited,Allied Blenders And Distillers Limited,India,in-mca,L15511MH2008PLC187368,Allied Blenders and Distillers Limited,self,website-regno,high,,https://www.abdindia.com/contact-us/,"CIN printed on the distillery's website (https://www.abdindia.com/contact-us/); not in the 2015 MCA snapshot (incorporated later or other state); name from page: 'Allied Blenders and Distillers Limited'; page context: 'you have a query, feedback or message for us, get in touch via any of the methods listed below. Registered Office: Allied Blenders and Disti'"
allied-blenders-and-distillers-pvt-ltd,Allied Blenders and Distillers Pvt Ltd,India,in-mca,U15511MH2008PTC187368,ALLIED BLENDERS AND DISTILLERS PRIVATE LIMITED,self,hand,high,,https://www.data.gov.in/catalog/company-master-data,"ABD (Officer's Choice); listed as Allied Blenders and Distillers Limited since 2024, 2015 snapshot shows the private-company name; MCA status ACTIVE (2015 snapshot); registered 8-10-2008, ROC RoC-Mumbai, Maharashtra; registered office 394-C Lamington Chambers Lamington Road Mumbai Maharashtra INDIA 400004; activity: Manufacturing (Food stuffs)"
allied-blenders-and-distillers-pvt-ltd,Allied Blenders and Distillers Pvt Ltd,India,in-mca,L15511MH2008PLC187368,Allied Blenders and Distillers Limited,self,website-regno,high,,https://www.abdindia.com/contact-us/,"CIN printed on the distillery's website (https://www.abdindia.com/contact-us/); not in the 2015 MCA snapshot (incorporated later or other state); name from page: 'Allied Blenders and Distillers Limited'; page context: 'you have a query, feedback or message for us, get in touch via any of the methods listed below. Registered Office: Allied Blenders and Disti'"
allied-blenders-and-distillers-pvt-ltd-kalyani,"Allied Blenders And Distillers Pvt. Ltd, Kalyani",India,in-mca,U15511MH2008PTC187368,ALLIED BLENDERS AND DISTILLERS PRIVATE LIMITED,operator,hand,high,,https://www.data.gov.in/catalog/company-master-data,"ABD bottling unit, Kalyani WB; MCA status ACTIVE (2015 snapshot); registered 8-10-2008, ROC RoC-Mumbai, Maharashtra; registered office 394-C Lamington Chambers Lamington Road Mumbai Maharashtra INDIA 400004; activity: Manufacturing (Food stuffs)"
allied-blenders-and-distillers-pvt-ltd-kalyani,"Allied Blenders And Distillers Pvt. Ltd, Kalyani",India,in-mca,L15511MH2008PLC187368,Allied Blenders and Distillers Limited,self,website-regno,low,,https://www.abdindia.com/contact-us/,"CIN printed on the distillery's website (https://www.abdindia.com/contact-us/); not in the 2015 MCA snapshot (incorporated later or other state); name from page: 'Allied Blenders and Distillers Limited'; page context: 'you have a query, feedback or message for us, get in touch via any of the methods listed below. Registered Office: Allied Blenders and Disti'"
allied-blenders-and-distillers-saha-ambala,"Allied Blenders And Distillers, SAHA, Ambala",India,in-mca,U15511MH2008PTC187368,ALLIED BLENDERS AND DISTILLERS PRIVATE LIMITED,operator,hand,high,,https://www.data.gov.in/catalog/company-master-data,"ABD unit, Saha industrial growth centre, Ambala HR; MCA status ACTIVE (2015 snapshot); registered 8-10-2008, ROC RoC-Mumbai, Maharashtra; registered office 394-C Lamington Chambers Lamington Road Mumbai Maharashtra INDIA 400004; activity: Manufacturing (Food stuffs)"
allied-blenders-and-distillers-saha-ambala,"Allied Blenders And Distillers, SAHA, Ambala",India,in-mca,L15511MH2008PLC187368,Allied Blenders and Distillers Limited,self,website-regno,low,,https://www.abdindia.com/contact-us/,"CIN printed on the distillery's website (https://www.abdindia.com/contact-us/); not in the 2015 MCA snapshot (incorporated later or other state); name from page: 'Allied Blenders and Distillers Limited'; page context: 'you have a query, feedback or message for us, get in touch via any of the methods listed below. Registered Office: Allied Blenders and Disti'"
allied-blenders-distillers-private-limited-gaganpahad,Allied Blenders & Distillers Private Limited Gaganpahad,India,in-mca,U15511MH2008PTC187368,ALLIED BLENDERS AND DISTILLERS PRIVATE LIMITED,operator,hand,high,,https://www.data.gov.in/catalog/company-master-data,"ABD site (pin geocoded to Tumkur Road, Bengaluru; slug says Gaganpahad, Hyderabad); MCA status ACTIVE (2015 snapshot); registered 8-10-2008, ROC RoC-Mumbai, Maharashtra; registered office 394-C Lamington Chambers Lamington Road Mumbai Maharashtra INDIA 400004; activity: Manufacturing (Food stuffs)"
