slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distilleria-leonardelli,Distilleria Leonardelli,Italy,it-registro-imprese,02712450226,Distilleria Leonardelli SRL,self,own-website-vat,high,,https://distillerialeonardelli.com,P.IVA/codice fiscale 02712450226 read from the distillery's own website (https://distillerialeonardelli.com); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-de-negri,Distilleria DE NEGRI,Italy,it-registro-imprese,00178890265,Distilleria F. DE NEGRI & C. s.r.l,self,own-website-vat,high,,https://www.grappadenegri.com,P.IVA/codice fiscale 00178890265 read from the distillery's own website (https://www.grappadenegri.com); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
brennerei-walcher-gmbh,Brennerei Walcher GmbH,Italy,it-registro-imprese,01180270215,Distilleria Walcher Srl,self,own-website-vat,high,,https://www.walcher.eu,P.IVA/codice fiscale 01180270215 read from the distillery's own website (https://www.walcher.eu); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
roner,Roner,Italy,it-registro-imprese,00120270210,Roner,self,own-website-vat,high,,https://www.roner.com,"P.IVA/codice fiscale 00120270210 read from the distillery's own website (https://www.roner.com); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
sierra-del-oso,Sierra del Oso,Spain,es-rmc,B39573571,Orujo de Potes S.L.U,operator,own-website-vat,medium,,https://sierradeloso.com/?page_id=4341,NIF B39573571 read from the distillery's own website (https://sierradeloso.com/?page_id=4341); legal name on the site is a drinks company but differs from the pin name (jaccard 0.00); checksum valid; not yet checked against the register (RMC/BORME by hand)
l-ones,L'Ones,Italy,it-registro-imprese,02445440221,L'ONES S.R.L,self,own-website-vat,high,,https://www.grappalones.it,P.IVA/codice fiscale 02445440221 read from the distillery's own website (https://www.grappalones.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
borgo-nonino,Borgo Nonino,Italy,it-registro-imprese,10100820967,Borgo Nonino Srl,self,own-website-vat,high,,https://www.borgononino.it,P.IVA/codice fiscale 10100820967 read from the distillery's own website (https://www.borgononino.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
destilerias-liber,Destilerías Liber,Spain,es-rmc,B18574434,DESTILERIA Y DISTRIBUCIONES LIBER S.L,self,own-website-vat,high,,https://destileriasliber.com/aviso-legal/,NIF B18574434 read from the distillery's own website (https://destileriasliber.com/aviso-legal/); legal name on the site matches the pin (jaccard 0.50); checksum valid; not yet checked against the register (RMC/BORME by hand)
distilleria-fratelli-brunello,Distilleria Fratelli Brunello,Italy,it-registro-imprese,00192240240,Distilleria Fratelli Brunello Srl,self,own-website-vat,high,,https://www.grappabrunello.it,P.IVA/codice fiscale 00192240240 read from the distillery's own website (https://www.grappabrunello.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
capovilla-distillati,Capovilla Distillati,Italy,it-registro-imprese,02002230247,Capovilla Distillati,self,own-website-vat,high,,https://www.capovilladistillati.it,"P.IVA/codice fiscale 02002230247 read from the distillery's own website (https://www.capovilladistillati.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
destileria-virgen-del-cisne,Destilería Virgen del Cisne,Spain,es-rmc,16555317D,Destilería Virgen del Cisne,self,own-website-vat,high,,https://www.virgendelcisne.es/aviso-legal/,"NIF 16555317D read from the distillery's own website (https://www.virgendelcisne.es/aviso-legal/); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (RMC/BORME by hand)"
alpe-srl,Alpe srl,Italy,it-registro-imprese,00106880073,Alpe srl,self,own-website-vat,medium,,http://www.alpedistilleria.it,P.IVA/codice fiscale 00106880073 read from the distillery's own website (http://www.alpedistilleria.it); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-viggiona,Distilleria Viggiona,Italy,it-registro-imprese,01813670039,Distilleria Viggiona,self,own-website-vat,low,,http://www.grappaviggiona.com,"P.IVA/codice fiscale 01813670039 read from the distillery's own website (http://www.grappaviggiona.com); number sits next to a web-agency credit; may be the agency's, not the distillery's; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
gin-eva,Gin Eva,Spain,es-rmc,B16611667,Gin Eva,self,own-website-vat,high,,https://gin-eva.com/es/legal/,"NIF B16611667 read from the distillery's own website (https://gin-eva.com/es/legal/); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (RMC/BORME by hand)"
distillerie-fichera,Distillerie Fichera,Italy,it-registro-imprese,02709790873,Distillerie Fichera,self,own-website-vat,low,,https://www.distilleriefichera.it,"P.IVA/codice fiscale 02709790873 read from the distillery's own website (https://www.distilleriefichera.it); number sits next to a web-agency credit; may be the agency's, not the distillery's; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
domenis1898,DOMENIS1898,Italy,it-registro-imprese,02833620301,DOMENIS1898 SRL,self,own-website-vat,high,,https://www.domenis1898.eu,P.IVA/codice fiscale 02833620301 read from the distillery's own website (https://www.domenis1898.eu); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-genziana-boroni,Distilleria Genziana Boroni,Italy,it-registro-imprese,02235310220,Distilleria Genziana Boroni,self,own-website-vat,high,,https://www.distilleriagenziana.it,"P.IVA/codice fiscale 02235310220 read from the distillery's own website (https://www.distilleriagenziana.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
vanagandr-destilerias-s-l,Vánagandr Destilerías S. L.,Spain,es-rmc,B70412820,"Vanagandr Destilerias, S.L",self,own-website-vat,high,,https://vanagandr.com/aviso-legal/,NIF B70412820 read from the distillery's own website (https://vanagandr.com/aviso-legal/); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (RMC/BORME by hand)
rossi-d-asiago,Rossi D'Asiago,Italy,it-registro-imprese,02305090249,ANTICHE DISTILLERIE RIUNITE S.R.L,operator,own-website-vat,medium,,https://www.rossidasiago.com,P.IVA/codice fiscale 02305090249 read from the distillery's own website (https://www.rossidasiago.com); legal name on the site is a drinks company but differs from the pin name (jaccard 0.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
ginificio-microdistillery,Ginificio Microdistillery,Italy,it-registro-imprese,02656790223,Ginificio Microdistillery,self,own-website-vat,high,,https://ginificio.it,"P.IVA/codice fiscale 02656790223 read from the distillery's own website (https://ginificio.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
bernard,Bernard,Italy,it-registro-imprese,00197830011,Bernard & C. snc,self,own-website-vat,high,,https://www.barathier.it,P.IVA/codice fiscale 00197830011 read from the distillery's own website (https://www.barathier.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
buiese-distillerie,Buiese Distillerie,Italy,it-registro-imprese,02461220804,Buiese Distillerie Srl,self,own-website-vat,high,,https://buiese.it,P.IVA/codice fiscale 02461220804 read from the distillery's own website (https://buiese.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
anis-del-mono-factory,Anís del Mono Factory,Spain,es-rmc,,"Bodegas Osborne, S.A.U.",operator,hand,medium,,https://www.rmc.es/,"Anis del Mono, Badalona, is an Osborne group brand and plant; NIF not obtained from a free register"
experiencia-43,Experiencia 43,Spain,es-rmc,,"Diego Zamora, S.A.",operator,hand,medium,,https://www.rmc.es/,"Licor 43 visitor centre, Cartagena; brand owner Zamora Company; NIF not obtained from a free register"
distilleria-zuccatti,Distilleria Zuccatti,Italy,it-registro-imprese,01310500226,Distilleria Zuccatti,self,own-website-vat,low,,https://distilleriazuccatti.it,"P.IVA/codice fiscale 01310500226 read from the distillery's own website (https://distilleriazuccatti.it); number sits next to a web-agency credit; may be the agency's, not the distillery's; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
privatbrennerei-wezl-in-riffian,Privatbrennerei Wezl in Riffian,Italy,it-registro-imprese,02745870218,Privatbrennerei Wezl in Riffian,self,own-website-vat,high,,http://www.wezl.it,"P.IVA/codice fiscale 02745870218 read from the distillery's own website (http://www.wezl.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
villa-laviosa,Villa Laviosa,Italy,it-registro-imprese,02218290217,VILLA LAVIOSA SAS,self,own-website-vat,high,,http://www.villalaviosa.it,P.IVA/codice fiscale 02218290217 read from the distillery's own website (http://www.villalaviosa.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
