slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
destilerias-liber,Destilerías Liber,Spain,es-rgseaa,30.08382/GR,DESTILERIAS Y DISTRIBUCIONES LIBER S.L.,self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment POL. IND. LA PALOMA, PARC. F, Granada (Andalucía) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destileria-rios,Destilería Rios,Spain,es-rgseaa,30.04243/V,"DESTILERIAS RIOS, S.A.",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment AVDA PAIS VALENCIA Num. 71, Valencia (Comunidad Valenciana) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destileria-rios,Destilería Rios,Spain,es-rgseaa,30.11276/V,"VINOS Y LICORES RIOS, S.L.",self,rgseaa-bulk-name,low,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 0.50; RGSEAA key 30 bebidas alcoholicas; establishment AVDA PAIS VALENCIA Num. 71 B, Valencia (Comunidad Valenciana) (province agrees); list dated 1 Sep 2026; no NIF in the list"
truebano-aguardientes-s-l,Truébano Aguardientes S.L.,Spain,es-rgseaa,30.04386/LE,"TRUEBANO AGUARDIENTES, S. L.",self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment CALLE MESON 1, León (Castilla y León); list dated 1 Sep 2026; no NIF in the list"
aguilar-destilerias,Aguilar Destilerias,Spain,es-rgseaa,30.04491/A,"DESTILERIAS AGUILAR, S.A.",self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment CTRA N-332 Km. 195,7    PTDA MATOSES, 23, Alicante (Comunidad Valenciana); list dated 1 Sep 2026; no NIF in the list"
vanagandr-destilerias-s-l,Vánagandr Destilerías S. L.,Spain,es-rgseaa,30.013160/C,VANAGANDR DESTILERIAS SL,self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment LUGAR A TELVA Nº13, BAIXO ESQ. SIGRAS, La Coruña (Galicia); list dated 1 Sep 2026; no NIF in the list"
licores-de-mariola,Licores de Mariola,Spain,es-rgseaa,30.01253/A,LICORES DE MARIOLA S.A.,self,rgseaa-bulk-name,high,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment C\ BARRANC DEL SINÇ Num. 24, Alicante (Comunidad Valenciana); list dated 1 Sep 2026; no NIF in the list"
destileria-de-arehucas,Destilería de Arehucas,Spain,es-rgseaa,30.01468/GC,"DESTILERIAS AREHUCAS, S.A.",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment C/ ERA SAN PEDRO, 2, Las Palmas (Canarias) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destileria-de-arehucas,Destilería de Arehucas,Spain,es-rgseaa,30.05108/GC,"Destilerías Arehucas, S.A.",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment Buzo, s/n, Las Palmas (Canarias) (province agrees); list dated 1 Sep 2026; no NIF in the list"
destileria-sinc,Destilería Sinc,Spain,es-rgseaa,30.01321/A,"LICORES SINC, S.A.",self,rgseaa-bulk-name,medium,,https://www.aesan.gob.es/registro-sanitario/empresas-alimentarias,"name jaccard 1.00; RGSEAA key 30 bebidas alcoholicas; establishment POLIG IND. COTES BAIXES C/ C Parcela 3, Alicante (Comunidad Valenciana) (province agrees); list dated 1 Sep 2026; no NIF in the list"
