slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
alembic-distillery,Alembic Distillery,Japan,jp-houjin-bangou,5220001022974,株式会社Alembic,self,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Alembic Co., Kanazawa; NTA spirits licence 2022, site 金沢市大野町4丁目ハ17 = pin address; pin website alembic.jp; register-checked 20 Sep 2026: 石川県金沢市大野町４丁目ハ１７番 〒9200331; register record open; number assigned 2019-07-03"
alembic-distillery,Alembic Distillery,Japan,jp-houjin-bangou,4220005001380,大野醤油醸造協業組合,self,postcode-signal,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"shared premises only, names do not overlap; same 7-digit postcode as the pin and a drinks word in the name; 石川県金沢市大野町４丁目甲１８番地６ 〒9200331; register record open; number assigned 2015-10-05"
amamioshima-kaiun-distillery,Amamioshima Kaiun Distillery,Japan,jp-houjin-bangou,5340001010471,奄美大島酒造株式会社,self,romaji-bridge,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,register furigana アマミオオシマシュゾウ equals pin/domain token 'ananiosina' once drinks words are removed; drinks word in name; 鹿児島県奄美市名瀬入舟町８番２１号 〒8940034; register record open; number assigned 2015-10-05
amamioshima-kaiun-distillery,Amamioshima Kaiun Distillery,Japan,jp-houjin-bangou,1340001010483,株式会社奄美大島開運酒造,self,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Amami Oshima Kaiun Shuzo, Uken; pin website lento.co.jp; register-checked 20 Sep 2026: 鹿児島県大島郡宇検村大字湯湾２９２４番地２ 〒8943301; register record open; number assigned 2015-10-05"
amamioshima-kaiun-distillery,Amamioshima Kaiun Distillery,Japan,jp-houjin-bangou,2340001010920,株式会社奄美大島宇検農産,self,romaji-bridge,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,pin/domain token 'ananiosina' in register furigana アマミオオシマウケンノウサン; same postcode but no drinks word (lead only); 鹿児島県大島郡宇検村大字湯湾２９２０番地４ 〒8943301; register record closed 2019-09-02 (reason code 11)
amamioshima-kaiun-distillery,Amamioshima Kaiun Distillery,Japan,jp-houjin-bangou,4340001022237,株式会社奄美大島宇検農産,self,romaji-bridge,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,pin/domain token 'ananiosina' in register furigana アマミオオシマウケンノウサン; same postcode but no drinks word (lead only); 鹿児島県大島郡宇検村大字湯湾２９２０番地４ 〒8943301; register record open; number assigned 2019-09-06
amanokawashuzo-or-amanokawa-distillery,Amanokawashuzō or Amanokawa Distillery,Japan,jp-houjin-bangou,6310001010093,天の川酒造株式会社,self,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Amanokawa Shuzo Co., Iki; pin website amanokawashuzo.com; register-checked 20 Sep 2026: 長崎県壱岐市郷ノ浦町田中触８０８番地 〒8115117; register record open; number assigned 2015-10-05"
asaka-distillery,Asaka Distillery,Japan,jp-houjin-bangou,4380001005337,笹の川酒造株式会社,operator,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Sasanokawa Shuzo, Koriyama; Asaka distillery is its whisky site; pin website sasanokawa.co.jp; register-checked 20 Sep 2026: 福島県郡山市笹川１丁目１７８番地 〒9630108; register record open; number assigned 2015-10-05"
asaka-distillery,Asaka Distillery,Japan,jp-houjin-bangou,3380001035483,株式会社あさか,self,romaji-bridge,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,register furigana アサカ equals pin/domain token 'asaka' but no drinks word and no postcode agreement (lead only); 福島県郡山市富田町字墨染１５番地４阿部ビル２０２号 〒9638041; register record open; number assigned 2025-07-30
asaka-distillery,Asaka Distillery,Japan,jp-houjin-bangou,7380001026082,株式会社あさか,self,romaji-bridge,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,register furigana アサカ equals pin/domain token 'asaka' but no drinks word and no postcode agreement (lead only); 福島県郡山市開成４丁目９番１７号 〒9638851; register record open; number assigned 2015-10-26
asaka-distillery,Asaka Distillery,Japan,jp-houjin-bangou,9380001036261,株式会社ASAKA,self,romaji-bridge,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,register furigana アサカ equals pin/domain token 'asaka' but no drinks word and no postcode agreement (lead only); 福島県郡山市大槻町字下町１３２－５ 〒9630201; register record open; number assigned 2026-08-17
blue-rabbit-distillery,Blue Rabbit Distillery,Japan,jp-houjin-bangou,7010803003530,合同会社Blue Rabbit Distillery,self,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Blue Rabbit Distillery LLC; NTA spirits licence 2022, site 大田区田園調布本町57-2 = pin address; register-checked 20 Sep 2026: 東京都大田区田園調布１丁目１２番５号 〒1450071; register record open; number assigned 2020-11-05"
chichibu-distillery,Chichibu distillery,Japan,jp-houjin-bangou,2030001091463,株式会社ベンチャーウイスキー,self,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"Venture Whisky Ltd (Ichiro Akuto), Chichibu, Saitama; runs Chichibu distillery; register-checked 20 Sep 2026: 埼玉県秩父市みどりが丘４９番地 〒3680067; register record open; number assigned 2015-10-05"
chichibu-distillery,Chichibu distillery,Japan,jp-houjin-bangou,2030001163832,ベンチャーウイスキーホールディングス株式会社,self,postcode-signal,low,,https://www.houjin-bangou.nta.go.jp/download/zenken/,"shared premises only, names do not overlap; same 7-digit postcode as the pin and a drinks word in the name; 埼玉県秩父市みどりが丘４９番地 〒3680067; register record open; number assigned 2024-12-10"
chita-distillery,Chita distillery,Japan,jp-houjin-bangou,3120001136159,サントリーホールディングス株式会社,group,hand,high,,https://www.houjin-bangou.nta.go.jp/download/zenken/,Suntory group parent; register-checked 20 Sep 2026: 大阪府大阪市北区堂島浜２丁目１番４０号 〒5300004; register record open; number assigned 2015-10-05
