slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
10-000-drops-craft-distillers,"10,000 Drops Craft Distillers",United States,ttb-basic-permit,MN-S-20036,"10,000 DROPS CRAFT DISTILLERS LLC",self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Faribault, MN; dba 10,000 Drops Craft Distillers; list of 2026-09-20"
10-torr-distilling-and-brewing,10 Torr Distilling and Brewing,United States,ttb-basic-permit,NV-S-20011,10 TORR DISTILLING & BREWING COMPANY LLC,self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Reno, NV; dba 10 Torr Distilling and Brewing Company; list of 2026-09-20"
10th-mountain-whiskey-spirit-company,10th Mountain Whiskey & Spirit Company,United States,ttb-basic-permit,CO-S-20030,"10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY, LLC",self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Gypsum, CO; dba 10th Mountain Whiskey and Spirit Company; list of 2026-09-20"
10th-street-distillery,10th Street Distillery,United States,ttb-basic-permit,CA-S-20187,"MILBEV, LLC",operator,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises San Jose, CA; dba 10th Street Distillery; list of 2026-09-20"
13th-colony-distillery,13th Colony Distillery,United States,ttb-basic-permit,GA-S-15002,"THIRTEENTH COLONY DISTILLERIES, LLC",self,ttb-premises,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"same premises: 305 N Dudley St, Americus 31709, street overlap 1.00, name overlap 0.33; list of 2026-09-20"
13th-hour-distilling,13th Hour Distilling,United States,ttb-basic-permit,RI-S-20014,"13TH HOUR DISTILLING, LLC",self,ttb-name-state,high,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Westerly, RI; dba 13TH HOUR DISTILLING; list of 2026-09-20"
1620-distilling-company,1620 Distilling Company,United States,ttb-basic-permit,KY-S-20117,"1620 DISTILLING COMPANY, LLC",self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via owner; premises Prestonsburg, KY; list of 2026-09-20"
1675-spirits,1675 Spirits,United States,ttb-basic-permit,PA-S-15019,"FREE PEOPLE DISTILLING, INC.",operator,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Bensalem, PA; dba 1675 Spirits; list of 2026-09-20"
1693-distillery,1693 Distillery,United States,ttb-basic-permit,TX-S-20139,"1693 DISTILLERY, LLC",self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via owner; premises Fredericksburg, TX; dba The Distillery at Luckenbach Road; list of 2026-09-20"
173-craft-distillery,173° Craft Distillery,United States,ttb-basic-permit,IA-S-20038,173° CRAFT DISTILLERY LLC,self,ttb-name-state,medium,,https://www.ttb.gov/public-information/foia/list-of-permittees,"jaccard 1.00 via operating; premises Clear Lake, IA; dba 173 Craft Distillery; list of 2026-09-20"
