item,itemLabel,org,orgLabel,ch,oc,countryLabel,coord
http://www.wikidata.org/entity/Q116694374,Neefs,http://www.wikidata.org/entity/Q116694374,Neefs,,be/0404844049,Belgium,Point(4.40796 51.22167)
http://www.wikidata.org/entity/Q116694835,Grandes Distilleries de Charleroi,http://www.wikidata.org/entity/Q116694835,Grandes Distilleries de Charleroi,,be/0401635131,Belgium,Point(4.4499 50.43865)
http://www.wikidata.org/entity/Q1867158,Distillery De Stoop,http://www.wikidata.org/entity/Q1867158,Distillery De Stoop,,be/0435685002,Belgium,Point(3.7518 51.0134)
http://www.wikidata.org/entity/Q111679770,Nishida Sake Brewery,http://www.wikidata.org/entity/Q111679770,Nishida Sake Brewery,,jp/9420001001673,Japan,
http://www.wikidata.org/entity/Q106018420,Aurora Spirit,http://www.wikidata.org/entity/Q106018420,Aurora Spirit,,no/911812401,Norway,
http://www.wikidata.org/entity/Q116694292,Cosemans,http://www.wikidata.org/entity/Q116694292,Cosemans,,be/0415054882,Belgium,Point(5.490621605 50.979560766)
http://www.wikidata.org/entity/Q116694378,Notermans,http://www.wikidata.org/entity/Q116694378,Notermans,,be/0401286525,Belgium,Point(5.30542 50.939882)
http://www.wikidata.org/entity/Q106678867,Kenten,http://www.wikidata.org/entity/Q106678867,Kenten,,jp/2010001015762,Japan,Point(144.82075 43.075833333)
http://www.wikidata.org/entity/Q136573009,Humdinger Gin Distillery,http://www.wikidata.org/entity/Q136573009,Humdinger Gin Distillery,,nz/7617296,New Zealand,Point(171.243023646 -44.090709497)
http://www.wikidata.org/entity/Q123067496,De Cort,http://www.wikidata.org/entity/Q123067496,De Cort,,be/0873089575,Belgium,
http://www.wikidata.org/entity/Q116694823,Distillerie du Centenaire,http://www.wikidata.org/entity/Q116694823,Distillerie du Centenaire,,be/0450939439,Belgium,
http://www.wikidata.org/entity/Q116694381,Pickmans,http://www.wikidata.org/entity/Q116694381,Pickmans,,be/0402879404,Belgium,
http://www.wikidata.org/entity/Q13445770,Bruggeman,http://www.wikidata.org/entity/Q13445770,Bruggeman,,be/0434965222,Belgium,Point(3.7696 51.1349)
http://www.wikidata.org/entity/Q116694378,Notermans,http://www.wikidata.org/entity/Q116694378,Notermans,,be/0401286525,Belgium,Point(5.33151 50.9316237)
http://www.wikidata.org/entity/Q11960618,Berentsens Brygghus,http://www.wikidata.org/entity/Q11960618,Berentsens Brygghus,,no/911284669,Norway,Point(6.0036 58.458)
http://www.wikidata.org/entity/Q2340248,Wissels,http://www.wikidata.org/entity/Q2340248,Wissels,,be/0874028396,Belgium,Point(5.330427641 50.92909739)
http://www.wikidata.org/entity/Q116694830,Distilleries Associées Belges,http://www.wikidata.org/entity/Q116694830,Distilleries Associées Belges,,be/0401639188,Belgium,
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.33608 50.9308)
http://www.wikidata.org/entity/Q116694369,Massy,http://www.wikidata.org/entity/Q116694369,Massy,,be/0452468772,Belgium,Point(5.390555555 51.029444444)
http://www.wikidata.org/entity/Q116694829,Distillerie L'Economie Populaire,http://www.wikidata.org/entity/Q116694829,Distillerie L'Economie Populaire,,be/0401388176,Belgium,
http://www.wikidata.org/entity/Q116694398,Simkens,http://www.wikidata.org/entity/Q116694398,Simkens,,be/0403790610,Belgium,Point(4.431872 51.21542)
http://www.wikidata.org/entity/Q123001683,Myken destilleri,http://www.wikidata.org/entity/Q123001683,Myken destilleri,,no/913072308,Norway,
http://www.wikidata.org/entity/Q116694369,Massy,http://www.wikidata.org/entity/Q116694369,Massy,,be/0452468772,Belgium,Point(5.328138888 50.932583333)
http://www.wikidata.org/entity/Q13445770,Bruggeman,http://www.wikidata.org/entity/Q13445770,Bruggeman,,be/0434965222,Belgium,Point(3.7235 51.0598)
http://www.wikidata.org/entity/Q2174139,Brouwerij Wilderen,http://www.wikidata.org/entity/Q2174139,Brouwerij Wilderen,,be/0890455842,Belgium,Point(5.14395118 50.819035)
http://www.wikidata.org/entity/Q116694797,Belgian Owl Distillery,http://www.wikidata.org/entity/Q116694797,Belgian Owl Distillery,,be/0867330745,Belgium,
http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,,be/0405086846,Belgium,Point(4.219 51.1244)
http://www.wikidata.org/entity/Q13445770,Bruggeman,http://www.wikidata.org/entity/Q13445770,Bruggeman,,be/0434965222,Belgium,Point(3.7245 51.0764)
http://www.wikidata.org/entity/Q116694858,"Piron-Daurel, J. B.",http://www.wikidata.org/entity/Q116694858,"Piron-Daurel, J. B.",,be/0401671357,Belgium,
http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,,be/0558867280,Belgium,Point(3.696 51.0565)
http://www.wikidata.org/entity/Q116694313,Likeurfabriek De Vledermuis,http://www.wikidata.org/entity/Q116694313,Likeurfabriek De Vledermuis,,be/0730849171,Belgium,
http://www.wikidata.org/entity/Q3197953,Braeckman,http://www.wikidata.org/entity/Q3197953,Braeckman,,be/0454083625,Belgium,Point(3.59299 50.8295)
http://www.wikidata.org/entity/Q1976672,Boomsma,http://www.wikidata.org/entity/Q1976672,Boomsma,,nl/01039614,Netherlands,
http://www.wikidata.org/entity/Q116694303,"Mouliez-Busschaert, Médard",http://www.wikidata.org/entity/Q116694303,"Mouliez-Busschaert, Médard",,be/0426582640,Belgium,
http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,,be/0558867280,Belgium,Point(3.6906 51.0934)
http://www.wikidata.org/entity/Q116694392,Rubbens,http://www.wikidata.org/entity/Q116694392,Rubbens,,be/0418306758,Belgium,Point(3.989520025 51.002448168)
http://www.wikidata.org/entity/Q116694398,Simkens,http://www.wikidata.org/entity/Q116694398,Simkens,,be/0403790610,Belgium,Point(4.41262 51.2267)
http://www.wikidata.org/entity/Q2363991,Colruyt,http://www.wikidata.org/entity/Q2363991,Colruyt,,be/0893707025,Belgium,
http://www.wikidata.org/entity/Q116694346,Konings,http://www.wikidata.org/entity/Q116694346,Konings,,be/0434680160,Belgium,Point(5.354888888 50.98125)
http://www.wikidata.org/entity/Q116694837,Hanin-Gilles,http://www.wikidata.org/entity/Q116694837,Hanin-Gilles,,be/0405797223,Belgium,
http://www.wikidata.org/entity/Q116694400,Somers,http://www.wikidata.org/entity/Q116694400,Somers,,be/0403652731,Belgium,
http://www.wikidata.org/entity/Q116694330,Filliers,http://www.wikidata.org/entity/Q116694330,Filliers,,be/0401021457,Belgium,Point(3.54385 50.99051)
http://www.wikidata.org/entity/Q116694347,La Capucina Import,http://www.wikidata.org/entity/Q116694347,La Capucina Import,,be/0400620787,Belgium,
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.327755282 50.927792044)
http://www.wikidata.org/entity/Q116694426,Van Leemput,http://www.wikidata.org/entity/Q116694426,Van Leemput,,be/0574521496,Belgium,Point(5.348805555 50.943694444)
http://www.wikidata.org/entity/Q12336951,Stauning Whisky,http://www.wikidata.org/entity/Q12336951,Stauning Whisky,,dk/30900529,Denmark,Point(8.4035 55.9527)
http://www.wikidata.org/entity/Q17214904,Q17214904,http://www.wikidata.org/entity/Q17214904,Q17214904,,jp/3270001003815,Japan,
http://www.wikidata.org/entity/Q116694350,Lanneau,http://www.wikidata.org/entity/Q116694350,Lanneau,,be/0411979190,Belgium,
http://www.wikidata.org/entity/Q116694443,Windels,http://www.wikidata.org/entity/Q116694443,Windels,,be/0770130015,Belgium,
http://www.wikidata.org/entity/Q116859708,Geens Benelux,http://www.wikidata.org/entity/Q116859708,Geens Benelux,,be/0451243505,Belgium,
http://www.wikidata.org/entity/Q116694437,Verhofstede,http://www.wikidata.org/entity/Q116694437,Verhofstede,,be/0832597025,Belgium,Point(4.1988 51.2031)
http://www.wikidata.org/entity/Q268267,Old Bushmills Distillery,http://www.wikidata.org/entity/Q268267,Old Bushmills Distillery,NI000601,gb/NI000601,United Kingdom,Point(-6.519647222 55.201919444)
http://www.wikidata.org/entity/Q116694398,Simkens,http://www.wikidata.org/entity/Q116694398,Simkens,,be/0403790610,Belgium,Point(4.4897 51.2215)
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.34133278 50.933458419)
http://www.wikidata.org/entity/Q116694378,Notermans,http://www.wikidata.org/entity/Q116694378,Notermans,,be/0401286525,Belgium,Point(5.327916666 50.927916666)
http://www.wikidata.org/entity/Q119999042,Vanderlinden,http://www.wikidata.org/entity/Q119999042,Vanderlinden,,be/0675457817,Belgium,Point(5.354138888 50.910583333)
http://www.wikidata.org/entity/Q116694299,"De Bruyn, J.",http://www.wikidata.org/entity/Q116694299,"De Bruyn, J.",,be/0418977147,Belgium,
http://www.wikidata.org/entity/Q116694302,De Gent,http://www.wikidata.org/entity/Q116694302,De Gent,,be/0706123079,Belgium,
http://www.wikidata.org/entity/Q5141140,Croizet,http://www.wikidata.org/entity/Q5141140,Croizet,,fr/905420147,France,
http://www.wikidata.org/entity/Q116694426,Van Leemput,http://www.wikidata.org/entity/Q116694426,Van Leemput,,be/0574521496,Belgium,Point(5.397944444 50.951777777)
http://www.wikidata.org/entity/Q116694275,Alias & St.-Guidon,http://www.wikidata.org/entity/Q116694275,Alias & St.-Guidon,,be/0405974395,Belgium,
http://www.wikidata.org/entity/Q20821529,Distillerie Radermacher,http://www.wikidata.org/entity/Q20821529,Distillerie Radermacher,,be/0472170660,Belgium,Point(6.123045 50.67)
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.34 50.932)
http://www.wikidata.org/entity/Q58864594,Distillery De Beukelaer,http://www.wikidata.org/entity/Q58864594,Distillery De Beukelaer,,be/0428760190,Belgium,Point(4.40219 51.20092)
http://www.wikidata.org/entity/Q65230255,Q65230255,http://www.wikidata.org/entity/Q65230255,Q65230255,,dk/36055936,Denmark,
http://www.wikidata.org/entity/Q137884342,Jackton distillery,http://www.wikidata.org/entity/Q137884342,Jackton distillery,08021995,gb/08021995,United Kingdom,Point(-4.250277777 55.752222222)
http://www.wikidata.org/entity/Q116694410,"Tiberghien, Geo.",http://www.wikidata.org/entity/Q116694410,"Tiberghien, Geo.",,be/0404856026,Belgium,
http://www.wikidata.org/entity/Q116694340,Hougardia,http://www.wikidata.org/entity/Q116694340,Hougardia,,be/0400951577,Belgium,Point(4.888894 50.778374)
http://www.wikidata.org/entity/Q116694306,De Moor,http://www.wikidata.org/entity/Q116694306,De Moor,,be/0442041569,Belgium,Point(4.00627 50.94077)
http://www.wikidata.org/entity/Q15873553,Van Goethem,http://www.wikidata.org/entity/Q15873553,Van Goethem,,be/0405071307,Belgium,Point(4.26934 51.1292)
http://www.wikidata.org/entity/Q3197953,Braeckman,http://www.wikidata.org/entity/Q3197953,Braeckman,,be/0454083625,Belgium,Point(3.6941 50.8869)
http://www.wikidata.org/entity/Q124448984,Likeurstokerij De Klok,http://www.wikidata.org/entity/Q124448984,Likeurstokerij De Klok,,be/0478777548,Belgium,
http://www.wikidata.org/entity/Q116694277,Het Mezennest,http://www.wikidata.org/entity/Q116694277,Het Mezennest,,be/0445872376,Belgium,
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.313109863 50.940840095)
http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,http://www.wikidata.org/entity/Q116694289,Cockney's Distillery,,be/0558867280,Belgium,Point(3.734 51.0482)
http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,,be/0405086846,Belgium,Point(4.2094 51.1385)
http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,http://www.wikidata.org/entity/Q116694359,Likeurstokerij 't Zwaantje,,be/0405086846,Belgium,Point(4.2156 51.1236)
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.3366 50.9389)
http://www.wikidata.org/entity/Q116694398,Simkens,http://www.wikidata.org/entity/Q116694398,Simkens,,be/0403790610,Belgium,Point(4.4109 51.2258)
http://www.wikidata.org/entity/Q24936827,Biercée Distillery,http://www.wikidata.org/entity/Q24936827,Biercée Distillery,,be/0401630775,Belgium,Point(4.2885 50.3073)
http://www.wikidata.org/entity/Q38266973,Tagohinke Brewery Products,http://www.wikidata.org/entity/Q38266973,Tagohinke Brewery Products,,jp/6260003000981,Japan,Point(134.07686111 35.09038889)
http://www.wikidata.org/entity/Q116694306,De Moor,http://www.wikidata.org/entity/Q116694306,De Moor,,be/0442041569,Belgium,Point(4.0458 50.9432)
http://www.wikidata.org/entity/Q116694392,Rubbens,http://www.wikidata.org/entity/Q116694392,Rubbens,,be/0418306758,Belgium,Point(4.0364 51.0675)
http://www.wikidata.org/entity/Q116694835,Grandes Distilleries de Charleroi,http://www.wikidata.org/entity/Q116694835,Grandes Distilleries de Charleroi,,be/0401635131,Belgium,Point(4.4765 50.4418)
http://www.wikidata.org/entity/Q116694369,Massy,http://www.wikidata.org/entity/Q116694369,Massy,,be/0452468772,Belgium,Point(5.352611111 51.025333333)
http://www.wikidata.org/entity/Q116694426,Van Leemput,http://www.wikidata.org/entity/Q116694426,Van Leemput,,be/0574521496,Belgium,Point(5.3315 50.93375)
http://www.wikidata.org/entity/Q3030727,Distillerie Warenghem,http://www.wikidata.org/entity/Q3030727,Distillerie Warenghem,,fr/436150049,France,Point(-3.43324 48.7244)
http://www.wikidata.org/entity/Q116694285,Brunar,http://www.wikidata.org/entity/Q116694285,Brunar,,be/0854977794,Belgium,
http://www.wikidata.org/entity/Q116694369,Massy,http://www.wikidata.org/entity/Q116694369,Massy,,be/0452468772,Belgium,Point(5.458388888 51.020166666)
http://www.wikidata.org/entity/Q2340248,Wissels,http://www.wikidata.org/entity/Q2340248,Wissels,,be/0874028396,Belgium,Point(5.329722982 50.929039102)
http://www.wikidata.org/entity/Q116694803,Compagnie Commerciale L’Abeille,http://www.wikidata.org/entity/Q116694803,Compagnie Commerciale L’Abeille,,be/0401574654,Belgium,
http://www.wikidata.org/entity/Q116694398,Simkens,http://www.wikidata.org/entity/Q116694398,Simkens,,be/0403790610,Belgium,Point(4.4922 51.19384)
http://www.wikidata.org/entity/Q116694332,Fryns,http://www.wikidata.org/entity/Q116694332,Fryns,,be/0401299094,Belgium,Point(5.342094 50.931452064)
http://www.wikidata.org/entity/Q13750103,De Korhaan,http://www.wikidata.org/entity/Q13750103,De Korhaan,,be/0401320474,Belgium,Point(5.36716 51.1258)
http://www.wikidata.org/entity/Q2340248,Wissels,http://www.wikidata.org/entity/Q2340248,Wissels,,be/0874028396,Belgium,Point(5.329238428 50.929259252)
http://www.wikidata.org/entity/Q116694328,Feyten-Janssens,http://www.wikidata.org/entity/Q116694328,Feyten-Janssens,,be/0400840127,Belgium,
http://www.wikidata.org/entity/Q116694431,Vanden Bulcke,http://www.wikidata.org/entity/Q116694431,Vanden Bulcke,,be/0546605490,Belgium,
http://www.wikidata.org/entity/Q116694331,"Fourcroy, G.",http://www.wikidata.org/entity/Q116694331,"Fourcroy, G.",,be/0402862180,Belgium,
http://www.wikidata.org/entity/Q116694304,De L'Auvre,http://www.wikidata.org/entity/Q116694304,De L'Auvre,,be/0414893447,Belgium,Point(3.89403 50.7828)
