item,itemLabel,org,orgLabel,ch,oc,countryLabel,coord
http://www.wikidata.org/entity/Q121811780,Diageo Global Supply Centre,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.032 56.2)
http://www.wikidata.org/entity/Q818145,Benrinnes distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.23686 57.44188)
http://www.wikidata.org/entity/Q280,Lagavulin Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-6.126169444 55.635488888)
http://www.wikidata.org/entity/Q893272,Cardhu distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.356925 57.470827777)
http://www.wikidata.org/entity/Q2827977,Ailsa Bay,http://www.wikidata.org/entity/Q2490031,William Grant & Sons,,fr/490248820,United Kingdom,Point(-4.833512 55.261793)
http://www.wikidata.org/entity/Q203404,Port Ellen Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-6.1969 55.6334)
http://www.wikidata.org/entity/Q1263993,Dufftown distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.1301 57.4364)
http://www.wikidata.org/entity/Q501320,Mortlach Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.12613 57.44078)
http://www.wikidata.org/entity/Q805853,Balvenie distillery,http://www.wikidata.org/entity/Q2490031,William Grant & Sons,,fr/490248820,United Kingdom,Point(-3.129094444 57.457230555)
http://www.wikidata.org/entity/Q1531170,Glentauchers distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-3.049253 57.534867)
http://www.wikidata.org/entity/Q911587,Glenfiddich Distillery,http://www.wikidata.org/entity/Q2490031,William Grant & Sons,,fr/490248820,United Kingdom,Point(-3.130833333 57.455138888)
http://www.wikidata.org/entity/Q1507227,George Dickel,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United States,Point(-86.2447 35.4386)
http://www.wikidata.org/entity/Q502268,Johnnie Walker,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-4.501111111 55.614444444)
http://www.wikidata.org/entity/Q983029,Linkwood distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.28694 57.63559)
http://www.wikidata.org/entity/Q51913,Caol Ila Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-6.1093 55.8544)
http://www.wikidata.org/entity/Q157974,Glenmorangie distillery,http://www.wikidata.org/entity/Q504998,LVMH,,fr/775670417,United Kingdom,Point(-4.075 57.825)
http://www.wikidata.org/entity/Q982708,Oban distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-5.4728 56.4147)
http://www.wikidata.org/entity/Q1229287,Hennessy,http://www.wikidata.org/entity/Q504998,LVMH,,fr/775670417,France,Point(-0.331761388 45.696598055)
http://www.wikidata.org/entity/Q2363991,Colruyt,http://www.wikidata.org/entity/Q1111963,Colruyt Group,,be/0400378485,Belgium,
http://www.wikidata.org/entity/Q119756769,Mars Komagatake distillery,http://www.wikidata.org/entity/Q11519921,Hombo Shuzo,,jp/6340001003887,Japan,Point(137.901138888 35.747611111)
http://www.wikidata.org/entity/Q110508024,The Helsinki Distilling Company,http://www.wikidata.org/entity/Q4045735,Olvi,,fi/0170318-9,Finland,
http://www.wikidata.org/entity/Q3572452,Yoichi distillery,http://www.wikidata.org/entity/Q3341523,Nikka Whisky Distilling,,jp/2010401021550,Japan,Point(140.791666666 43.1875)
http://www.wikidata.org/entity/Q983029,Linkwood distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.28624 57.6354)
http://www.wikidata.org/entity/Q280,Lagavulin Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom of Great Britain and Ireland,Point(-6.126169444 55.635488888)
http://www.wikidata.org/entity/Q278,Talisker distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-6.356111111 57.302777777)
http://www.wikidata.org/entity/Q203404,Port Ellen Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-6.19706 55.634)
http://www.wikidata.org/entity/Q119756769,Mars Komagatake distillery,http://www.wikidata.org/entity/Q11519921,Hombo Shuzo,,jp/6340001003887,Japan,Point(137.901322762 35.747953244)
http://www.wikidata.org/entity/Q773797,Dalwhinnie distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-4.238061111 56.940127777)
http://www.wikidata.org/entity/Q124932,Clynelish Distillery,http://www.wikidata.org/entity/Q161140,Diageo,00023307,gb/00023307,United Kingdom,Point(-3.870622222 58.023919444)
http://www.wikidata.org/entity/Q1184173,Delhaize,http://www.wikidata.org/entity/Q20539261,Ahold Delhaize,,nl/35000363,Belgium,
http://www.wikidata.org/entity/Q15242812,Longmorn distillery,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,fr/582041943,United Kingdom,Point(-3.28250833 57.60815278)
http://www.wikidata.org/entity/Q274,Ardbeg,http://www.wikidata.org/entity/Q504998,LVMH,,fr/775670417,United Kingdom,Point(-6.10833 55.6405)
http://www.wikidata.org/entity/Q816571,Ben Nevis distillery,http://www.wikidata.org/entity/Q3341523,Nikka Whisky Distilling,,jp/2010401021550,United Kingdom,Point(-5.07389 56.8351)
