registry,company_number,company_name,country,read_on,status,status_detail,incorporated,last_accounts_date,last_accounts_type,next_due,accounts_overdue,confirmation_overdue,charges_total,charges_outstanding,charges_latest,sic,source,note
at-firmenbuch,FN 186541 A,Brennerei Rochelt GmbH,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
at-firmenbuch,FN 192613 F,NUSSBACH DISTILLERY GmbH,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
at-firmenbuch,FN 238822 I,Destillerie Hochstrasser GmbH & Co KG,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
at-firmenbuch,FN 383289 K,Destillerie Weidenauer e.U.,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
at-firmenbuch,FN 447945 V,Destillerie Puchas GmbH,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
at-firmenbuch,FN 506382 F,Destillerie Jesche GmbH,Austria,2026-09-20,unknown,,,,,,,,,,,,,no health reader for at-firmenbuch yet
au-abr,11076232981,BIMBADGEN ESTATE PTY LIMITED,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,11601222682,SOUTHERN WILD DISTILLERY PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,11608583697,CEDAR FOX DISTILLING CO. PTY. LTD.,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,11617085382,BARKING OWL DISTILLING CO. PTY. LTD.,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,11632806672,THE AISLING DISTILLERY PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,12646008488,SUNNYSIDE PARK PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,12648476591,CUT SNAKE DISTILLERY PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,13008596370,"LION-BEER,SPIRITS & WINE PTY LTD",Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,13152602198,VARIATIONS DISTILLERY PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
au-abr,13609724932,POISON CREEK DISTILLING PTY LTD,Australia,2026-09-20,unknown,,,,,,,,,,,,,no health reader for au-abr yet
