company_number,company_name,ultimate_number,ultimate_name,levels,stopped_because,chain,source
00023307,Diageo,00023307,Diageo,0,none,,https://find-and-update.company-information.service.gov.uk/company/00023307/persons-with-significant-control
00031114,ADNAMS PLC,00031114,ADNAMS PLC,0,none,,https://find-and-update.company-information.service.gov.uk/company/00031114/persons-with-significant-control
00074809,GLENBURGIE DISTILLERY LIMITED,,Pernod Ricard Sa,5,foreign parent: Pernod Ricard Sa,00074809:GLENBURGIE DISTILLERY LIMITED -> 00703977:Allied Domecq Spirits & Wine Limited | 00703977:Allied Domecq Spirits & Wine Limited -> SC268758:Chivas Brothers Limited | SC268758:Chivas Brothers Limited -> 02869879:Allied Domecq Spirits & Wine Holdings Limited | 02869879:Allied Domecq Spirits & Wine Holdings Limited -> SC331555:Chivas Holdings (Ip) Limited | SC331555:Chivas Holdings (Ip) Limited -> joint -> :Pernod Ricard Sa,https://find-and-update.company-information.service.gov.uk/company/00074809/persons-with-significant-control
00547325,ALCOHOLS LIMITED,00727228,W.H.Palmer & Co. (Industries) Limited,1,none,00547325:ALCOHOLS LIMITED -> 00727228:W.H.Palmer & Co. (Industries) Limited,https://find-and-update.company-information.service.gov.uk/company/00547325/persons-with-significant-control
00613551,JOHN DEWAR AND SONS LIMITED,00366786,Bacardi U.K. Limited,1,none,00613551:JOHN DEWAR AND SONS LIMITED -> 00366786:Bacardi U.K. Limited,https://find-and-update.company-information.service.gov.uk/company/00613551/persons-with-significant-control
01595703,GLEN TURNER COMPANY LIMITED,01595703,GLEN TURNER COMPANY LIMITED,0,individual,,https://find-and-update.company-information.service.gov.uk/company/01595703/persons-with-significant-control
02202176,CAPTAIN COOK LIMITED,,St. Martins Finance Limited,0,foreign parent: St. Martins Finance Limited (),,https://find-and-update.company-information.service.gov.uk/company/02202176/persons-with-significant-control
03289012,THAMES DISTILLERS LIMITED,00470272,A E Chapman & Son Ltd,1,individual,03289012:THAMES DISTILLERS LIMITED -> 00470272:A E Chapman & Son Ltd,https://find-and-update.company-information.service.gov.uk/company/03289012/persons-with-significant-control
03620949,THE WELSH WHISKY COMPANY LIMITED,03620949,THE WELSH WHISKY COMPANY LIMITED,0,individual,,https://find-and-update.company-information.service.gov.uk/company/03620949/persons-with-significant-control
05512270,CASTLETOWN LIMITED,05512270,CASTLETOWN LIMITED,0,individual,,https://find-and-update.company-information.service.gov.uk/company/05512270/persons-with-significant-control
05586226,BANKHALL LIMITED,03512725,World Property Services Limited,1,individual,05586226:BANKHALL LIMITED -> 03512725:World Property Services Limited,https://find-and-update.company-information.service.gov.uk/company/05586226/persons-with-significant-control
05591988,BEAM SUNTORY UK LIMITED,05608446,Beam Suntory Uk Holdings Limited,1,none,05591988:BEAM SUNTORY UK LIMITED -> 05608446:Beam Suntory Uk Holdings Limited,https://find-and-update.company-information.service.gov.uk/company/05591988/persons-with-significant-control
05752521,COPPER POT LTD,05752521,COPPER POT LTD,0,individual,,https://find-and-update.company-information.service.gov.uk/company/05752521/persons-with-significant-control
05997034,WINCHESTER DISTILLERY LIMITED,05997034,WINCHESTER DISTILLERY LIMITED,0,individual,,https://find-and-update.company-information.service.gov.uk/company/05997034/persons-with-significant-control
06373864,SIPSMITH LIMITED,10322915,Suntory Uk Holdings Limited,1,none,06373864:SIPSMITH LIMITED -> 10322915:Suntory Uk Holdings Limited,https://find-and-update.company-information.service.gov.uk/company/06373864/persons-with-significant-control
06736350,BLACK FRIARS DISTILLERY LIMITED,,Pernod Ricard Sa,2,foreign parent: Pernod Ricard Sa,06736350:BLACK FRIARS DISTILLERY LIMITED -> SC331555:Chivas Holdings (Ip) Limited | SC331555:Chivas Holdings (Ip) Limited -> joint -> :Pernod Ricard Sa,https://find-and-update.company-information.service.gov.uk/company/06736350/persons-with-significant-control
07515908,BIMBER DISTILLERY LTD,07515908,BIMBER DISTILLERY LTD,0,individual,,https://find-and-update.company-information.service.gov.uk/company/07515908/persons-with-significant-control
07604280,G&J DISTILLERS LTD.,07604265,Quintessential Brands Uk Holdings Limited,2,individual,07604280:G&J DISTILLERS LTD. -> 07604275:Quintessential Brands Uk Group Limited | 07604275:Quintessential Brands Uk Group Limited -> 07604265:Quintessential Brands Uk Holdings Limited,https://find-and-update.company-information.service.gov.uk/company/07604280/persons-with-significant-control
07688037,CAMBRIDGE DISTILLERY LTD,07688037,CAMBRIDGE DISTILLERY LTD,0,individual,,https://find-and-update.company-information.service.gov.uk/company/07688037/persons-with-significant-control
07769363,THE LAKES DISTILLERY COMPANY LIMITED,15281873,Nyetimber Wines And Spirits Group Limited,1,individual,07769363:THE LAKES DISTILLERY COMPANY LIMITED -> 15281873:Nyetimber Wines And Spirits Group Limited,https://find-and-update.company-information.service.gov.uk/company/07769363/persons-with-significant-control
07881791,AURORA BREWING LIMITED,,Orbitus Trustees (Guernsey) Limited,0,foreign parent: Orbitus Trustees (Guernsey) Limited (Guernsey Guernsey),,https://find-and-update.company-information.service.gov.uk/company/07881791/persons-with-significant-control
08021995,Jackton distillery,SC894346,Jackton Group Limited,1,individual,08021995:Jackton distillery -> SC894346:Jackton Group Limited,https://find-and-update.company-information.service.gov.uk/company/08021995/persons-with-significant-control
08039849,THE FUZZY DUCK DISTILLERY LTD,08039849,THE FUZZY DUCK DISTILLERY LTD,0,none,,https://find-and-update.company-information.service.gov.uk/company/08039849/persons-with-significant-control
08073174,WARNER'S DISTILLERY LIMITED,01595703,Glen Turner Company Limited,1,individual,08073174:WARNER'S DISTILLERY LIMITED -> 01595703:Glen Turner Company Limited,https://find-and-update.company-information.service.gov.uk/company/08073174/persons-with-significant-control
08182937,SPIRIT OF YORKSHIRE LIMITED,08182937,SPIRIT OF YORKSHIRE LIMITED,0,individual,,https://find-and-update.company-information.service.gov.uk/company/08182937/persons-with-significant-control
08230959,SOUTHWESTERN DISTILLERY LIMITED,13365238,Leadbetter Holdings Limited,1,individual,08230959:SOUTHWESTERN DISTILLERY LIMITED -> 13365238:Leadbetter Holdings Limited,https://find-and-update.company-information.service.gov.uk/company/08230959/persons-with-significant-control
08300207,OXFORD ARTISAN DISTILLERY LIMITED,16914770,Fielden Limited,2,individual,08300207:OXFORD ARTISAN DISTILLERY LIMITED -> 09804220:Still On The Hill Limited | 09804220:Still On The Hill Limited -> 16914770:Fielden Limited,https://find-and-update.company-information.service.gov.uk/company/08300207/persons-with-significant-control
