Subject,Market,Latest Direct Inventory,Source Evidence,Corroboration,Definition And Caveats,Conversion Basis Available,Confidence,Error
United States (separate Kentucky and Tennessee evidence if national inventory is unavailable),Kentucky,17.1 million barrels (2024),"Distillery Trail | Kentucky Bourbon’s Economic Impact Grows to $10.4 Billion, $1.45 Billion in Planned Investments — Headwinds Ahead as Sales Plateau | https://www.distillerytrail.com/blog/kentucky-bourbons-economic-impact-grows-to-10-4-billion-1-45-billion-in-planned-investments-headwinds-ahead-as-sales-plateau/ | \""Stores a record 17.1 million barrels of spirits, of which 16.1 million are Bourbon.\"" and \""In 2024, there were 17.1 million barrels aging in Kentucky’s bonded warehouses.\""","Kentucky Distillers’ Association | The Economic and Fiscal Impacts of the Distilling Industry in Kentucky, 2024-2025 | https://kybourbon.com/wp-content/uploads/2024/02/Economic-and-Fiscal-Impacts-FINAL-2-6-24.pdf | \""There were 13.3 million barrels of spirits aging in Kentucky warehouses as of December 31, 2022, of which 12.6 million were Bourbon.\""","The figure represents barrels of spirits aging in Kentucky's bonded warehouses, including Bourbon and other spirits like brandy or single malt whiskey. The data is for 2024.",YES — standard barrel size (53 gallons/200 liters) is implied by the term 'barrel',High,
Scotland,Scotland,22 million casks (2025),"Scotch Whisky Association | Facts & Figures | https://www.scotch-whisky.org.uk/industry-insights/facts-figures/ | \""Some 22 million casks lie maturing in warehouses in Scotland waiting to be discovered - that is around 12bn 70cl bottles.\""","Dramface | The Scale of Modern Scotch Whisky | https://www.dramface.com/features/2024/the-scale-of-modern-scotch-whisky | \""The warehouses are filling up fast, with the Scotch Whisky Association reporting there to be around 22 million casks currently in warehouses in Scotland\""","The figure covers Scotch Whisky maturing in oak casks in Scotland for at least 3 years. The reference date for the figures is Jan-Dec 2025 unless otherwise stated, and this figure is not stated otherwise.","YES — The Scotch Whisky Association provides a conversion of 22 million casks to 12 billion 70cl bottles, implying an average cask volume of approximately 381.8 litres. This can be used to convert to 200-litre barrel equivalents.",High,
Ireland,Ireland,4.5 million barrels (2026),"Irish Examiner | My Job: Irish whiskey has the ingredients to build ... | https://www.irishexaminer.com/business/companies/arid-41851572.html | \""Ireland has 4.5m maturing whiskey casks, or nine years of global supply, in warehouses, according to the LYQD Irish Whiskey Supply Report 2026.\""","Irish Whiskey Magazine | LYQD Publishes Irish Whiskey Supply Report 2026 | https://www.irishwhiskeymagazine.com/news/latest-news/lyqd-publishes-irish-whiskey-supply-report/ | \""Deep in bonded warehouses across Ireland, approximately 4.5 million barrels of whiskey are quietly maturing, enough to supply the entire global Irish whiskey market for nearly nine years.\""","The figure refers to maturing whiskey casks in bonded warehouses across Ireland. The exact definition of 'barrel' or 'cask' size is not specified in the snippet, nor is the precise coverage (e.g., all distilleries or a subset).","YES — requires standard barrel/cask size (e.g., 200 liters)",Medium,
Canada,Canada (Ontario specific),"566,000 liters (June 2015)","Selfbuilt's Whisky Analysis | Whisky Volume in Ontario | https://whiskyanalysis.com/index.php/2015/06/30/whisky-volume-in-ontario/ | “Just focusing on these major distilleries, that’s over 566,000 liters of Canadian whisky currently sitting on LCBO shelves (at the time of year when whisky sales seem to be at their lowest).”",NONE FOUND,"The figure represents Canadian whisky inventory in Ontario from major distilleries on LCBO shelves as of June 28, 2015. It does not represent the total national maturing inventory. The majority (96.1%) of this volume consists of whiskies priced under $30, primarily intended for mixed drinks.",YES — 1 liter = 0.264172 US gallons,Low,
Japan,Japan,NO DEFENSIBLE FIGURE FOUND.,"No single source provided a direct, national inventory figure for maturing whisky in Japan. Multiple market reports and news articles discuss market trends and production capacity, but not total maturing stock.",NONE FOUND,"No national aggregate figure for maturing whisky inventory in Japan was found. Information available pertains to market value, export volumes, or individual distillery capacity expansions, not total stock in maturation.",NO — no aggregate inventory figure found to convert,Low,
"Australia, with a separate check for Tasmania",Tasmania,2.4 million litres (December 2023),NO CONFIDENCE in the Rockliff Government | **Lets not forget that Jeremy Rockliff gave Lark $3.7 million in grants and stood by while our health system crumbled | Facebook | https://www.facebook.com/groups/noconfidenceintherockliffgovernment/posts/739768337653473/ | “Lying in wait in barrels across Tasmania sits some 2.4 million litres of liquid gold. Lark’s “whisky bank” is now officially big enough for export.”,NONE FOUND,"The figure of 2.4 million litres refers specifically to Lark Distilling Co.'s maturing whisky inventory in Tasmania. It is not a total for all Tasmanian whisky. The inventory doubled compared to two years prior to the December 29, 2023 post.","YES — assume 40% ABV for conversion to litres of pure alcohol, then to 200-litre barrel equivalents",Medium,
India,India,NO DEFENSIBLE FIGURE FOUND.,"Multiple web searches across official government sites, industry associations, and market research firms. No specific source provided a direct inventory figure for maturing whiskey in India.",NONE FOUND,"No direct inventory figures for maturing whiskey in India were found in publicly available official or reputable industry reports. Information available pertains to market value, sales volume, and growth forecasts.",NO — no direct inventory figure found to convert,Insufficient,
England and Wales,England,"circa 50,000 casks (end of 2024)","English Whisky Guild | English Whisky Guild appoints CEO as industry forecast to possess over £1bn in maturing stock | https://www.englishwhiskyguild.com/post/english-whisky-guild-appoints-ceo-as-industry-forecast-to-possess-over-1bn-in-maturing-stock | \""With circa 50,000 casks of English whisky predicted stillers by the end of 2024, the value of this maturing stock is forecast to exceed £1bn\""",NONE FOUND,"The figure refers to maturing stock of English whisky. The exact definition of 'cask' is not specified, but it is a common unit in the whisky industry. The figure is a prediction for the end of 2024.","YES — standard cask size (e.g., 200-litre barrel equivalents) would be required for conversion",Medium,
New Zealand,New Zealand,NO DEFENSIBLE FIGURE FOUND.,"New Zealand Customs Service | Customs-controlled Areas | https://www.customs.govt.nz/business/customs-controlled-areas | \""Customs-controlled Areas (CCAs) are secure, controlled areas where we monitor or conduct activities.\"" ; Stats NZ | Alcohol available for consumption: Year ended December 2025 | https://www.stats.govt.nz/information-releases/alcohol-available-for-consumption-year-ended-december-2025/ \""Alcohol available for consumption statistics provide information on the volume of alcoholic beverages (beer, wine, spirits, and spirit-based drinks) available for consumption in New Zealand.\""",NONE FOUND,"No aggregated inventory data for maturing whiskey/whisky in New Zealand was found from official government, regulatory, or trade association sources. Available data from Stats NZ pertains to alcohol available for consumption, not maturing inventory. Customs New Zealand provides lists of licensed manufacturing and storage areas, but does not publish inventory volumes.",NO — no inventory figure found,Insufficient,
South Africa,South Africa,"150,000 casks (2018)",Whisky Adventurer | 🇿🇦 The James Sedgwick Distillery | https://whiskyadventurer.com/the-james-sedgwick-distillery/ | “Five warehouses are at all times holding 150 000 casks with maturing whisky.”,NONE FOUND,"The figure represents maturing whisky in five warehouses at James Sedgwick Distillery. The article is dated November 20, 2018.",NO — cask size not specified for conversion to 200-litre barrel equivalents,Low,
Taiwan,Taiwan,"300,000+ barrels (2024)","Kavalan Distillery - Wikipedia | https://en.wikipedia.org/wiki/Kavalan_Distillery | \""Kavalan Distillery has a storage capacity of over 300,000 barrels, with a third maturation warehouse completed in 2024 increasing maturation storage capacity to 300,000+ casks.\""",NONE FOUND,"The figure represents the storage capacity for maturing whisky at Kavalan Distillery. The exact barrel size (e.g., 200-liter equivalent) is not specified in the source.","YES — basis: standard whisky barrel size (e.g., 200-liter equivalent) would be required",Medium,
