county,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Totals,0,0,0,0,0,0,0,0,0,1500153790,1751443578,1752920089,2038730889,2253724932,2547664808,2941553360,3493913854,4475535219,5319725758
Nelson,261995431,308092209,308092209,354478862,356177046,384378253,382408026,420413566,436946763,489657915,555226717,556538570,668290714,716710669,809767365,883689601,1051380310,1360998546,1620648244
Franklin,81081400,97942920,97942920,109765417,120311452,128895541,120811157,130255701,137260402,148214579,184514410,184514410,232367358,281797761,332546385,416878391,476683023,643931722,797961823
Bullitt,162138875,200107085,200107085,227747537,248079264,251112586,245203727,242700034,225095070,230585475,256118566,256118566,266973949,283203854,296724156,354606517,424015792,552280315,666657889
Marion,42998671,47916277,47916277,51238802,53648632,54769436,62922210,72648455,91382122,106169192,140639347,140639347,170801023,207710060,238466622,277841552,325404892,405276066,485123362
Jefferson,88173354,127420076,127420076,162368932,232266030,289244918,268980462,280681766,274684465,291093494,270677922,270677922,283410346,259276546,256182196,252912572,323203025,344312038,386994059
Woodford,30545025,35186906,35186906,39099324,47148776,43539729,46848145,37577361,48539542,50471927,94604018,94610525,123096543,160760839,176995588,196987958,218793968,248212569,306938395
Anderson,38139207,44538708,44538708,53212577,66449784,80452002,81787970,83747021,95603520,116053154,127161711,127161711,148735275,158482417,180354106,196728236,213207747,257458654,296986083
Shelby,0,0,0,0,0,0,0,0,0,0,38051102,38171968,52312531,66411909,95236309,103990079,129236637,198546684,137758976
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9446388,29412547,63285071,119133020
Daviess,7550207,6251349,6251349,8166679,8196818,13953847,16868924,24163748,27239375,31220049,44990475,44990475,51939929,63040523,82036828,98461579,97415495,110972423,115797907
Boyle,0,0,0,0,0,0,0,0,629,47188,249428,249428,1502067,3484696,15123969,28616210,54668554,86876493,110460687
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801557,7409068,20087373,47761830,80125782
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,10634401,11654317,46835878,54448973,65913245,71108399
Jessamine,24788184,25976888,25976888,19432910,16906871,18791046,21796675,31466923,30732998,35803831,36825037,36825037,34188387,36070263,33961616,40043608,39665126,41831705,43259545
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655509,2456953,6472363,15646019,25354938
Oldham,0,0,0,0,0,0,0,0,0,81259,828787,828787,2706721,3059911,7549814,9221878,10537115,14000742,17430863
Campbell,0,0,0,0,0,0,0,0,0,129078,666653,666653,1002462,1577246,1793788,3926302,6769077,8994731,12328411
Garrard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847726,3890357,6575924
Warren,0,0,0,0,0,20928,218350,300781,400079,434310,388733,388733,494660,306259,6661043,9699455,8890833,608189,5934183
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4168731
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060043,3254466
Boone,0,0,0,0,0,0,0,0,0,0,240524,240524,304025,486461,417830,538251,728667,990174,1084512
Hardin,0,0,0,0,0,0,0,0,0,96,332,332,332,11810,98075,179546,497084,29952,978493
Christian,0,0,0,0,0,1134,1063,3304,5390,27073,50911,50911,99753,101669,181631,234936,372229,484046,827209
Hickman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405919,718905
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,43658,28870,62846,167744,197706,340672,507450
Muhlenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,50036,128458,226448,476065
Fayette,0,0,0,0,0,10460,4528,9568,4691,143090,170584,179922,336941,434029,292429,304423,361809,598004,408634
Mason,0,0,0,0,0,0,0,17198,39956,19854,12251,12251,18424,17659,36550,97315,90289,244171,209066
Bourbon,0,0,0,0,0,0,0,0,0,0,595,5632,6306,45640,8270,7794,16006,174975,141104
Kenton,0,0,0,0,0,0,0,0,0,0,17799,17799,13520,12116,9419,12271,10842,24718,116169
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91432
Mccracken,0,0,0,0,0,0,0,0,0,0,0,22189,29033,36357,33634,4108,23978,62429,66399
Bracken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,171,3789,30798
Letcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11906,27111,20683,28810
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16196
Grayson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200
Simpson,0,0,0,0,0,0,0,0,0,2226,7676,7676,13113,22967,3724,8106,14005,9215,7944
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,2685
Ballard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183805,289801,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,721,43819,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55709,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15122,4395,0
